,texto,emocion
39,Apoyo al coordinador de MORENA en JALISCO es el Doc Carlos Lomelí Bolaños y el regidor Alejandro Buenrostro de Tonalá vamos todos por la cuarta transformación,neutral
40,Para un mejor Jalisco es Carlo lomelí la familia Gonzales estamos con morena en el salto y Tonalá saludos a Alejandro Buenrostro,neutral
41,"Nadie como usted para seguir la 4T en Jalisco, queremos un verdadero hombre de palabra para sacar a los Naranjas del estado",annoyance
42,TOTALMENTE DE ACUERDO!!! Dr LOMELÍ!!! Firmes y adelante!!!! 4T !! Saludos cordiales 🙏,approval
43,"Muchas Felicidades doc., siempre activo",admiration
44,Un placer haberlo acompañado Dr. Carlos Lomelí Bolaños todo el equipo de Alejandro Buenrostro,joy
45,Apollo total Dr confiamos en usted ...,approval
46,"Vamos con usted👍🏻, un mejor jalisco 👌🏻",approval
47,Sin duda la mejor opción dr Lomeli,admiration
48,Apoyo total al doc Carlos Lomeli,neutral
49,"SALUDOS Dr. Carlos Lomeelí Bolaños
Departe de la señora IRENE IÑIGUEZ GONZALEZ ENFERMERA DEL CENTRO DE SALUD DE LA COMUNIDAD DE SANTA CRUZ DE LAS HUERTAS , TIENE NUESTRO
APOYO Y BENDICIONES",gratitude
50,Apoyo a Carlos Lomeli,caring
51,"El pueblo lo quiere a Usted, por qué morena ya tiene candidato.",love
52,UMM doctor va Lemus en contra de usted se la va a aplicar igual que en Guadalajara si no busca una buena estrategia se repetirá la ecuación gana Lemus y usted en segundo pero bueno a ver cómo le va por que ya están preparando toda la caballería del estado y de los ayuntamientos que tiene MC,neutral
53,Todo el apoyo al dr. Lomelí,neutral
54,"Jalisco en verdad mmmm no es que nesecite un cambio , si no que urge ese cambio verdadero que el gobierno actual tanto prometió,, usted si Dr. Carlos Lomelí Bolaños creo sin lugar a dudas que este es su tiempo...",neutral
55,"solo en usted confiamos DR LOMELI , nunca votaremos otra vez por un ladrón y corrupto panista , aunque brinque a morena , en jalis usted es el mejor representante del movimiento de regeneración , VAMOS CON USTED DR CARLOS LOMELI",neutral
56,Estamos con usted Doctor,neutral
57,contódo mi doc tu eres mi 🐓🐓🐓🐓🐓 saludos desde poncitlan,neutral
58,José Luis Muro,neutral
59,José Luis Muro,neutral
60,Siempre lo apoyaré Dr. Carlos Lomelí Bolaños los migrantes ya nos conoce un abrazo 🤗,caring
61,"En el salto confiamos en usted Dr. Lomelí, Sabemos que no nos va a fallar.",approval
62,Un saludo mi estimado Carlitos,excitement
63,"Muchas Felicidades Dr.
Tlaquepaque y Jalisco son 4T",excitement
64,"Como Jalisciense es nuestro tiempo apoyar al Dr. Carlos Lomelí
Juntos ganaremos y a Cumplir su compromiso como Gobernador!!!!
Dr. Carlos Lomelí SÍ PUEDE !!!!",approval
65,saludos desde poncitlan animo si se puede,joy
66,Dr. Carlos Lomelí Bolaños siiii se puede saludos 🤗 cordiales,joy
67,Saludos desde Tlaquepaque!!,neutral
68,Porque Jalisco es Grande y lo merece Morena Si Dr Lomeli Nuestro Próximo Gobernador,admiration
69,El Dr. Carlos Lomelí Bolaños SI PUEDE,neutral
70,LUCHAREMOS UNIDOS A SU LADO DR.LOMELI YA ASE FALTA UN VERDADERO CAMBIO UD. SERA GOBERNADOR DEL ESTADO DE JALISCO VIVA LA 4T. Y MORENA,neutral
71,Vamos con todo Dr Carlos Lomelí próximo gobernador,neutral
72,a darle con todo y hasta cumplir el objetivo mi doc animooooo si se puede saludos desde poncitlan,caring
73,Así es doctor como usted dice la unión mueve montañas siempre con usted adelante k ya falta menos,neutral
74,Dr. Carlos Lomelí SÍ PUEDE !!!!!,neutral
75,👏👏👏👏,amusement
76,"Dr,siempre cuenta con mi apoyo incondicional desde Los Ángeles California ,
Jalisco por un cambio real 🤝🤝",caring
77,OJALA Y NO PACTE CON MOVIMIENTO CIUDADANO LA GOBERNATURA DR. LOMELÍ PORQUE ELLOS YA TIENEN LISTO A LEMUS Y SEGÚN ESO YA PACTARON VARIAS DEPENDENCIAS.,disapproval
78,Esooo nececito Jalisco Morena Si La 4T llegará pronto Dr Lomeli Nuestro Próximo Gobernador,neutral
79,Camello Camello Camello,neutral
80,Jalisco con el.Dr.Lomeli,neutral
81,TODO JALISCO CON MORENA DR LOMELÍ Y LA 4 T,neutral
82,Guadalajara que con su confianza y firmeza a logrado llegar Asus sueños para trabajar y transformar asu pueblo Dr Carlos Lomelí,admiration
83,"Con todo, vamos con el Doctor Lomeli, próximo gobernador de Jalisco.",neutral
84,Ocotlán Jalisco está con usted doctor Lomeli gobernador y el gran equipo del profe julio que día a día y simos un gran trabajo para que el estado de Jalisco sea mejor,admiration
85,"Todo nuestro apoyo con usted, Dr. Lomelí
Saludos desde Tonalá
Equipo del Regidor Alejandro Buenrostro.",caring
86,Ya es el momento de la 4T en Jalisco. Es el tiempo del pueblo.,neutral
87,Vamos por el cambio con el Dr. Carlos Lomelí Bolaños 👍👌,amusement
88,"Es verdad Dr Carlos Lomeli, se dice fácil, pero se requiere de mucho valor, como lo ha tenido usted. Felicidades, y gracias por no soltarnos",gratitude
89,Distrito 18 con Usted estimado Doctor 🇱🇻🙌🏽,neutral
90,"Felicidades Dr.
Tlaquepaque y Jalisco son 4T",excitement
91,Vamos con todo por Jalisco Morena SI Dr Lomeli Nuestro Próximo Gobernador,neutral
92,"Dr. Carlos Lomelí SÍ PUEDE!!!
Dios y el Estado Jalisco con tigo en la Cd de México 🙌",neutral
93,Estamos con el Dr Carlos LOMELI Si se Puede Distrito 19 te apoyamos Dr en la Encuesta Dr Carlos LOMELI es la Respuesta,neutral
94,Vamos con todo Dr Carlos Lomelí,neutral
95,Exito. Dr.,gratitude
96,Jalisco con usted Doc Lomelí,neutral
97,Abrazo Doctor! Jalisco será #Morena,neutral
98,Es tiempo de un buen cambio Dr. Lomeli 🙏,joy
99,Vamos 💪 Doctor nuestro próximo gobernador,annoyance
100,"Estamos con usted Dr Carlos.
Lomelí es la respuesta.",caring
101,"Saludos de Tuxpan, Dr Carlos Si se puede.",neutral
102,Felicidad de todos los migrantes de California,sadness
103,Jalisco ya Decidió Dr. Carlos Lomelí Bolaños será el próximo gobernador ¡SI PUEDE!,neutral
104,Cuautla esta con usted Dr. Carlos Lomelí Bolaños 🫶,caring
105,Jalisco y sus distritos ya queremos el cambio por eso el apoyo es para Dr. Carlos Lomelí Bolaños donde vamos haber la diferencia y un cambio verdadero,approval
106,El pueblo de Jalisco ya decidio! Con el Dr. Carlos Lomelí Bolaños vamos a construir la Transformación de Jalisco ! Lo mejor está por venir!,optimism
107,Estamos con usted Dr. Carlos Lomelí Bolaños Jalisco está convencido que es el indicado,approval
108,"honor al lema del partido que representa: NO MENTIR, NO ROBAR Y NO TRAICIONAR. HASTA LIBERAR A JALISCO DR. LIDERAZO MAGISTERIAL CON USTED.",neutral
109,Dr. Carlos Lomelí Bolaños si puede,neutral
110,Hasta la victoria siempre,neutral
111,Vamos todos unidos por la 4ta Transformación de nuestro Estado unidos todos con el Doctor Carlos Lomeli,approval
112,En el salto y todo Jalisco confiamos en usted Dr. Lomelí,approval
113,Jalisco muy a Doc 🙌🏻🙌🏻,neutral
114,"Estuvimos presente en la cordial invitación del salto , tonala en apoyo del Doc.Carlos Lomelí Bolaños",neutral
115,Vamos juntos avanzando con la mejor opción Dr. Carlos Lomelí Bolaños,approval
116,Dr lomelí esperemos que defendamos el voto porque aquí en Jalisco estamos compitiendo con políticos que todavía son muy muy muy ud sabe y entiende,optimism
117,mi futuro gobernador animooo si se puede saludos desde poncitlan,neutral
118,Cada día somos más con el doctor Lomeli gobernador juntos por Jalisco,neutral
119,El pueblo de jalisco asta con usted doctor,neutral
120,El salto ocupa un cambio verdadero para que llegue la cuenta transformación,neutral
121,"Los principios y la lucha morenista en Jalisco están bien representados en Carlos Lomelí
Los días avanzan y el morenismo también",neutral
122,"Es momento de Jalisco, es el momento del Dr. Carlos Lomelí Bolaños y la 4T.",neutral
123,"Mi futuro Gobernador de Jalisco, Dr. Carlos Lomeli y mi futuro presidente de Ayutla, Javier Sanchez Campos desde acá de la sierra se les apoya , vamos con todo, éxito ..",approval
124,MG LH,surprise
125,Tlaquepaque y Jalisco son 4T,neutral
126,Todo el Apoyo Dr. Carlos Lomelí si se puede,caring
127,Elvis Bravo,neutral
128,Por el Salto y Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,neutral
129,Morena jamás entrará en jalisco,neutral
130,"Dr.Carlos Lomelí nuestro próximo Gobernador,,,,p
or favor no la volvamos a regar.",neutral
131,"Tonalá también es 4T
Vamos con todo.",approval
132,Todo el apoyo al Dr. Carlos Lomelí Bolaños distrito 19 cd guzman jalisco,neutral
133,cómo siempre en todo está animooo,joy
134,Unidos todos con el Doctor Carlos Lomeli para lograr la 4ta Transformación para nuestro Estado,excitement
135,Los hechos valen más que las palabras y confiamos en el Dr.Carlos Lomelí por un cambio verdadero,approval
136,Así debe ser. La palabra es la palabra. Excelente doc.,admiration
137,"CUIDEMOS NUESTRO VOTÓ. INDEPENDIENTEME
NTE DE PARTIDO. NECESITAMOS UNA PERSONA CON HONESTIDAD CONSIGOMISMO.",desire
138,Por una persona humana real y de principios todo con el Dr Carlos Lomeli,neutral
139,"Universitario de nuestra casa de estudio, la universidad de Guadalajara. Que mejor que un gobernante que conoce las condiciones educativas de las escuelas públicas.",admiration
140,👍👏,curiosity
141,"5to Distrito con nuestro futuro Gobernador, creemos en usted un hombre integro que sabe lo que Jalisco necesita",optimism
142,Todo mi apoyo para el Doctor Lomeli,caring
143,Todo el apoyo al Dr. Carlos Lomelí Bolaños saludos desde Puerto Vallarta,neutral
144,a darle con todo y asta cumplir el objetivo animooooo si se puede saludos desde poncitlan,joy
145,Es tiempo de grandes usted es muy grande bendiciones,admiration
146,Saludos 🤗 desde Villa Hidalgo!,joy
147,Claro qué sí Doctor todo ese esfuerzo será premiado,admiration
148,Excelente,admiration
149,Animo adelante con el mejor Carlos Lomelí,neutral
150,San Martín de las Flores apoya a doctor Carlos Lomeli!!!!,neutral
151,VIVA LA 4T DR.LOMELI MI VOTO PARA USTED Y MORENA PRÓXIMO GOBERNADOR DE JALISCO,neutral
152,El progreso de Jalisco está cercas y yo voy con el amigo de Jalisco mi gran amigo Doctor Carlos Lomelí claro que sí si si yes yes yes saludos desde Ahualulco Jalisco... Rafael kdns 👑💯💪,neutral
153,A poyo total al doctor Lomeli gobernador,neutral
154,Saludos x el bien de todos todos con morena no mas mentiras todos con lomeli,approval
155,"Todo mi apoyo para usted, Dr. Lomeli.
Es el hombre más leal y de convicciones por darle vida y dignidad a Jalisco.",caring
156,Excelente trayectoria en Morena Si por Jalisco Dr Lomeli Nuestro Próximo Gobernador,admiration
157,Rita Maria,neutral
158,TODO EL APOYO DR. LOMELÍ.,neutral
159,"Con mucho entusiasmo para liberar a Jalisco de falsos gobernantes, juntos por la 4a transformación Dr Lomelí, mi voto es para UD y MORENA 💯 x 💯",approval
160,Y SI DR. LOMELÍ TODO JALISCO CON USTED Y MORENA FUERA MOVIMIENTO CIUDADANO DE JALISCO QUE CREN QUE ROBAR AL PUEBLO ES TRABAJAR.,neutral
161,OJALA Y NO PACTEN LA GOBERNATURA Y DEJARLE A MOVIMIENTO CIUDADANO QUE SE IMPONGA PONIENDO A LEMUS O A ZAMORA JALISCO NO QUIERE SABER NADA DE MOVIMIENTO CIUDADANO LOS QUE CREN QUE TRABAJAR ES ROBAR A JALISCO,optimism
162,Seguimos avanzando con el doctor Lomeli gobernador juntos por Jalisco,approval
163,Muchas felicidades para usted Dr. Carlos Lomelí Bolaños todo el apoyo del distrito 19 cd guzman,gratitude
164,a darle con todo y hasta cumplir el objetivo animooooo si se puede saludos desde poncitlan Jalisco,joy
165,Vemos cada día más personas convencidas qué usted es la persona indicada para ser nuestro gobernador,neutral
166,Felicidades para nuestro próximo gobernador,excitement
167,La gente de lagunitas en San Agustín Tlajomulco encantada con el carisma y sencillez de nuestro próximo coordinador de los trabajos de la 4 T en Jalisco.,admiration
168,"Lo va a lograr Doctor, es necesario y urgente el cambio en Jalisco!",optimism
169,"Fan destacado
Teresa Arredondo",neutral
170,Por Tlajomulco y Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,neutral
171,"Muy bien dr lomeli, próximo gober",admiration
172,Saludos mi estimado Carlitos,excitement
173,Gracias a sus sueños a llegado asu límite para ayudar y apoyar a su pueblo Dr Carlos Lomelí,gratitude
174,El compromiso Vamos con todo doctor por un Jalisco mejor con la cuarta transformación y vamos con morena y con usted agarrados de la mano para la transformación de Jalisco,neutral
175,a darle con todo y asta cumplir el objetivo animooooo mi doc mi futuro gobernador saludos desde poncitlan,joy
176,Adelante con el Dr Lomeli y la 4T 👍👍👏👏,neutral
177,La mejor opción para Jalisco Dr Dr. Carlos Lomelí Bolaños,approval
178,"Con Ud Dr Lomeli seguro llegará el movimiento de transformación de la 4T y Morena, qué tanto deceamos para Jalisco. 👍👏👏",approval
179,Saludos Dr Carlos Lomelí Bolaños desde Ocotlán Jalisco.,neutral
180,Así será siempre pa adelante,neutral
181,Por Jalisco Morena Si la 4T está por llegar Dr Lomeli Nuestro Próximo Gobernador,neutral
182,👏👏👍,curiosity
183,DR CARLOS LOMELI quiero felicitarlo por la lavor qué está haciendo estamos con ustedes nosotros estamos apoyando ha Alberto Alfaro somos líderes de la colonia artesanos de. Parte de marco Antonio y el a cazarez,caring
184,"Sin lugar a dudas , no hay , no existe , ni habrá mejor opción para nuestro maravilloso estado de Jalisco que usted mi Doc ,, Dr. Carlos Lomelí Bolaños cuenta con nuestro apoyo total y confianza...",admiration
185,Ahora sí que no nos queda la menor duda que el Doctor Carlos Lomelí va a ser el próximo candidato a gobernador por Jalisco,optimism
186,"El Dr Carlos Lomelí es el único qué puede desplazar a éstos pillos naranjas.
Ánimo Dr !!",neutral
187,Hay le encargo a cihualtan estamos olvidados x nuestras autoridades,realization
188,"Felicidades por su segundo informe a mi estimada Diputada. No pude estar presente porque nos hemos solidarizado con las personas que sufrieron daños en el municipio y andamos atareados, pero mis felicitaciones mis mejores vibras desde Cihuatlán, Jalisco.",gratitude
189,Excelente trabajo,admiration
190,"Felicitaciones a la compañera Maria Padilla, por su destacado desempeño como legisladora",admiration
191,Felicidades todo por Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,neutral
192,Muchas felicidades diputada,joy
193,mi doc en todo está animooo mi futuro gobernador,optimism
194,El doctor Carlos Lomeli comprometido con las causas femeninas y la igualdad,approval
195,Por las Mujeres y niñas de Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,neutral
196,Dr Carlos Lomelí estamos en Zapopan en poblado de la primavera y somos muchas personas que ya queremos un cambio verdadero y estamos con Morena haber cuando nos visitan gracias,gratitude
197,Seguimos adelante,neutral
198,Seguimos avanzando con el doctor Lomeli gobernador,neutral
199,Lo invitamos a que nos visite a puente grande de parte comite vesinal por puente grande así estamos en fase book para que alguno de sus colaboradores nos contacte y nos den una cita so.os alrededor de 30 miembros,neutral
200,Mi 🐓🐓🐓🐓🐓🐓🐓🐓 es el doc lomeli mi futuro gobernador con toda la actitud,desire
201,DOC. SI PUEDE.,neutral
202,Aguas frescas ricas Eli,neutral
203,La respuesta para Jalisco es Lomelí,neutral
204,🇲🇽💯👍,approval
205,Todo Jalisco conoce al Dr. Lomeli y sabemos que él es el mejor para regir los destinos de este bello Estado.,admiration
206,"Tlaquepaque y Jalisco son 4T
Felicidades Dr.",excitement
207,Dr. Carlos Lomelí próximo coordinador de la 4T,neutral
208,"distrito 19 estamos con el Doc, Si se Puede y en la Encuesta el Dr Carlos LOMELI es la Respuesta, Saludos cordiales",neutral
209,"Así debe ser Dr. Carlos predicar con humildad, sencilles, constancia, compromiso y cumplir más que nada",neutral
210,Todo el Apoyo Dr.Carlos Lomelí por un cambio verdadero,approval
211,Estamos con usted doctor Lomeli juntos por Jalisco lograremos un cambio,approval
212,Dios le bendiga Dr Lomeli saludos un abrazo afectuoso,caring
213,Qué así sea Tocayo la honestidad y humildad por delante animó.,admiration
214,Así es Dr. Lomelí a seguir adelante. Por que queremos un cambio verdadero para Jalisco. Saludos,desire
215,"El doctor Carlos Lomeli, honesto y congruente, un luchador social",neutral
216,"Y el pueblo de Jalisco, lo acompañará!",neutral
217,Buenas tardes Ánimo,gratitude
218,Vamos con todo con Dr. Carlos Lomelí Bolaños,neutral
219,ESA FOTO DICE TODO MI DOC CAMINANDO AL GOBIERNO DE JALUSCO FELICIDADES,gratitude
220,mi futuro gobernador aaaa darle con todo y hasta cumplir el objetivo animooooo saludos desde poncitlan,neutral
221,Jalisco por el Dr. Lomelí. Viva 4 T,neutral
222,Por ese Camino hasta Palacio de Gobierno Morena Si por Jalisco Dr Lomeli Nuestro Próximo Gobernador,neutral
223,Saludos doc. Hay le encargo a cihualtan,excitement
224,Elvis Bravo,neutral
225,"Fan destacado
Teresa Arredondo",neutral
226,👍,curiosity
227,Muchas felicidades animó,joy
228,Felicidades Doctor 🎉,excitement
229,"Fan destacado
Jose Gregorio Iturralde Torres",neutral
230,Dios bendiga a los trabajadores de la Salud profesión que sabemos es la más noble de todas Felicidades en su Día 💯💪🏻🩺,caring
231,"Muchas felicidades a todas, todos quienes ejercen tan noble y necesaria profesión, seguro estoy que los médicos y médicas de #Jalisco, en nuestro amigo el Dr. Carlos Lomelí Bolaños encontrarán, empatía, diálogo y responsabilidad
. Abrazos!",gratitude
232,Muchas felicidades a todos los doctores ( a ) que tengan un lindo día,joy
233,Feliz día del Médico. Vamos por Jalisco Dr Lomeli Nuestro Próximo Gobernador,neutral
234,Para nada.,disapproval
235,El Distrito 19 estamos con el dr Carlos LOMELI Si se Puede y en la Encuesta Es la Respuesta,neutral
236,"En Cihuatlán Si puede el Dr. Carlos Lomelí, la transformación llega a Jalisco.",neutral
237,Lo único que le falta doc. es ser gobernador del estado de JALUSCO ya le toca a mascota y sus rumbos saludos,sadness
238,"Y por Guadalajara ni se diga estamos con Ud Dr Lomeli, sé le espera con todo cariño, cómo la persona honesta y trabajadora qué es 👍👋 vi a la Transformación y la 4T.

se diga",love
239,el es mi 🐓🐓🐓🐓🐓🐓 ay vamos paso aaaa pasito pero seguros animooooo si se puede saludos desde poncitlan jalisco,joy
240,Todo el Apoyo para el Dr. Carlos Lomelí si se puede,caring
241,Cada día sumando más voluntades hacia la transformación,approval
242,Saludos acuérdense de cihuatlan todos con morena no mas mentiras todos con lomeli x el bien de jalisco y cihuatlan,neutral
243,"Doctor una pregunta muy importante para los ciudadanos de Jalisco. Que sucede con el sector salud, es un tema consideró para su campaña.",neutral
244,Ahuatlan presente apoyando con todo al doctor Carlos Lomeli,neutral
245,Tienen todo el apoyo del Dr. Carlos Lomelí Bolaños saludos del distrito 19 cd guzman,neutral
246,Nuestro próximo gobernador de Jalisco va a ser el Doctor Carlos Lomelí y no se olviden que la encuesta el doctor Lomelí es la respuesta,neutral
247,Ya es tiempo de un convenio y la mejor opción es el doctor Lomeli,neutral
248,Provecho doctor que dios lo cuide y lo bendiga donde quiera que se encuentre saludos!!!!!,caring
249,Buen provecho saludos,joy
250,"Consejo, un buen micro para sus redes, saludos 🤟🏻",caring
251,Vamos con todo por la 4aT Jal.y Tlaj.con Ud.Dr.Lomeli🇲🇽💯👍,neutral
252,"Ojalá pongan a otro para Jalisco con Morena
Por qué yo quiero votar por Morena pero no por ti",confusion
253,Saludos amigo mucho exito y provechito !!,joy
254,Estamos alá orden Dr Carlos Lomelí aquí andamos con el Zapato y puro Ameca Jalisco,neutral
255,Saludos.,admiration
256,"👍 provecho 😋🤤 dr, saludos",joy
257,"Saludos cordiales Dr Carlos Lomeli, provecho",neutral
258,Delia Gutierrez,neutral
259,"#OrgulloMexicano. .

Es un placer estar con la 4T , nosotros los mexicanos ya sabemos por quién iremos este 2024, seis de seis con morena✌🏼👏🏼👏🏼
🇲🇽¡¡¡Viva México!!!🇲🇽",approval
260,"Otro Aferrado, no entiende que en Jalisco no lo queremos, solo su mesías lo toma en cuenta y por los negocios que hacen.",neutral
261,Todo mi apoyo 👏🏻👏🏻👏🏻👏🏻,caring
262,Dr.carlos lomeli Bolaños Comprometete a quitar los vereficentros negocio de alfarin canallin,neutral
263,Mmmm ya empezó con sus giras jaja...,amusement
264,Estamos con usted Dr.lomeli exito,neutral
265,Cada día crese más la hola de juntos por Jalisco con el doctor Lomeli gobernador y el profe julio en Ocotlán,neutral
266,Vamos con todo Dr Carlos,neutral
267,"Muy bien Dr, próximo gobernador 👍",admiration
268,Vamos dr Lomelí vamos con todo. Muchas bendiciones,gratitude
269,Dr.Carlos Lomelí el cambio verdadero que necesita Jalisco,neutral
270,Sin dudarlo el Dr Lomeli nuestro próximo gobernador de Jalisco!!!!,neutral
271,"El doctor Carlos Lomeli, es congruente así lo demuestra su historia de vida",neutral
272,Vamos con todo próximo gobernador Dr Carlos Lomelí 💪,neutral
273,Esperó me voltie aver yo voy hacer un buen elemento para trabajar en campo,approval
274,Saludos Dr Lomeli arriva y adelante con morena y la 4t.,neutral
275,"Usted es el mejor para regir los destinos de esta estado, Dr. Carlos Lomelí Bolaños .
Desde nuestra trinchera estamos con usted para apoyarlo a encabezar la coordinación de la defensa de los comités de la 4T.
Equipo del Regidor Alejandro Buenrostro presente.",admiration
276,"Felicidades!!Dr
.Carlos Lomelí.Saludos",gratitude
277,Muchas Felicidades Dr. Todo Jalisco es 4T,excitement
278,mi 🐓🐓🐓🐓🐓🐓 es el doc lomeli ay vamos paso aaaaa pasito pero seguro animooooo saludos desde poncitlan,excitement
279,Y estamos trabajando ya en calles ablando de usted porque esta ves nadie nos para,neutral
280,Y los próximos 6 años serán los más importantes. Vamos con el Dr. Carlos Lomelí Bolaños,excitement
281,"Fan destacado
Simon Mireles",neutral
282,Estamos con usted Dr Carlos Lomelí sabemos que será nuestro próximo Gobernador!,optimism
283,Por Jalisco Dr Lomeli Nuestro Próximo Gobernador,neutral
284,En tortas Briseño x por el peri le da un toke especial los frijolitos carnita adoba especial y las salsas inigualables la neta,neutral
285,"Las tortas ahogadas del ""matador"": con más de 30 años ubicadas en calle Chimborazo,casi
esquina con Belisario Domínguez... ¡Riquísimas!",admiration
286,En tonala las de avenida rancho la cruz el birote muy rico y sus salsa y chile muy bien sazonado,neutral
287,"Las famosas, las chago y las del ranger en santa Anita 😎",annoyance
288,"En mi opinión personal y para quienes vivimos par el sur las tortas ahogadas Wada y sus exquisitos tacos enrollados de carne y de requesón no tienen comparación WADA están por la plaza cívica de miravalle el chile como pocos la salsa exquisita y a eso agrégale cebolla natural, cebolla con habanero y pepino y cebolla con mango y habanero hacen l gran diferencia",neutral
289,"Las de chachis en colonia auditorio , riquísimas, no muy condimentadas
Carnitas y bolillo de Atemajac.",neutral
290,"Hay unas ubicadas en Hacienda Cofradía del rosario qué se llaman tortas nuco, y otras que me gustan mucho que están en avenida Juan Pablo II y Hacienda la quemada",approval
291,Las del Tejon calle Huxmal acá por el estadio . Carnita recién echa y salsas riquísima,admiration
292,Las del príncipe (afuera de Sears) saludos y provecho!!!,admiration
293,"Las Roberts, las del príncipe heredero (Sears), y hay muchos puestos que no son famosos y que preparan unas tortas riquísimas",admiration
294,Las del Rika con varias sucursales las he pobrobado en Pedro moreno y Chapultepec y están muy BUENAS,approval
295,"Saludos Dr. Lomely. Desde Tomatlan, Jal.",neutral
296,"Las del Registro, por Ave. Gpe. a una cuadra de Sta. Teresa",neutral
297,Tortas Beto 👍,sadness
298,Tortas ahogadas hipo 🦛 avenida maestros y panteón de mezquitan 😋🥵,neutral
299,Invite Doctor......ya se me antojaron,desire
300,"Hay variedad de lugares, depende donde vivas aquí por periférico saliendo de San martin después de las vías hay unas muy ricas cuando guste lo invito!!!!",approval
301,"Todas son excelentes, todas tienen su toque personal, saludos.",admiration
302,"Afortunadamente
hay de dónde escoger deliciosas tortas ahogadas, con diferente sazón en la fantástica Guadalajara",approval
303,Las del cartero 👌,curiosity
304,Solo he probado las de tortas Toño.,neutral
305,Tortas Colomos,neutral
306,Tadas las tortas san ricas saludos cordiales doctor Lomeli,neutral
307,"Felicidades Doc, Zapopan es tu casa",excitement
