texto,time,comentarios,repost,me gusta,me encanta,me divierte,me importa,me enoja,me asombra,me entristece,reaction_count,texto_ingles,emocion
Alguna vez mi madre me dijo que la confianza es difícil de ganar porque se sostiene con nuestro diario actuar. Veamos este nuevo día como una oportunidad para estar a la altura de nuestros dichos.,2023-10-17 09:30:01,47,22,166,24.0,1.0,3.0,,,,194,Once my mother told me that trust is difficult to win because it is sustained with our newspaper acting. Let's see this new day as an opportunity to live up to our sayings.,optimism
"Para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad.
Agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡Les deseo un excelente inicio de semana a todas y todos!",2023-10-16 16:30:01,41,40,262,83.0,,124.0,,,,469,"To earn people's respect and trust, we must work with honesty and integrity.
I deeply thank all those who accompany me in this arduous work. I wish you all of the week to all of the week!",gratitude
#EnVivo Conferencia de prensa 16 Octubre 2023,2023-10-16 09:32:25,15,5,67,11.0,1.0,2.0,,,,81,"#Envivo Press Conference October 16, 2023",approval
"Ser líder es construir soluciones en equipo... ¡y mi equipo es
Jalisco!",2023-10-15 20:00:00,73,11,263,36.0,13.0,6.0,,,,318,"Being leader is building team solutions ... And my team is
Jalisco!",neutral
"En Tepa y todos los Altos hay gente trabajadora, buena y dedicada, que con o sin apoyo, han sabido construir una de las regiones más fértiles y productivas de México y de toda América.

¡Gracias por recibirme este domingo!",2023-10-15 17:21:05,40,21,218,33.0,1.0,3.0,,,,255,"In Tepa and all the highs there are working, good and dedicated people, who with or without support, have managed to build one of the most fertile and productive regions of Mexico and all of America.

Thanks for receiving me this Sunday!",admiration
Conocer de cerca a la gente y sus historias me motiva y me llena de vida. Es un privilegio estar y compartir con ustedes. Gracias por inspirarme todos los días.,2023-10-14 12:00:00,22,25,200,31.0,1.0,3.0,,,,235,Knowing people closely and their stories motivates me and fills me with life. It is a privilege to be and share with you. Thanks for inspiring me every day.,gratitude
"En el oriente de Guadalajara y en todo Jalisco, ¡ya se respira fuerte la 4T!

Queremos paz y tranquilidad, desarrollo y bienestar, y juntos podemos lograrlo. Gracias a los simpatizantes de mi partido por invitarme a conversar con ellos esta tarde. ¡Somos invencibles cuando estamos juntos!",2023-10-13 22:03:59,60,29,305,37.0,2.0,5.0,,,,349,"In the East of Guadalajara and in all Jalisco, the 4T is already breathing strong!

We want peace and tranquility, development and well -being, and together we can achieve it. Thanks to the supporters of my game for inviting me to talk with them this afternoon. We are invincible when we are together!",gratitude
"Si ustedes están conmigo, ¿quién puede contra nosotros juntos?",2023-10-13 13:00:00,69,48,238,51.0,,5.0,,,,294,"If you are with me, who can against us together?",curiosity
"Unidos por la transformación, comprometidos con la 4T. En Jalisco, la unidad se fundamenta en los principios de MORENA, la organización, la movilización y la suma de todas las voluntades.

Con nuestras causas y MORENA por encima de todo, somos invencibles en Jalisco.

Creemos en un México y un Jalisco más justo y equitativo.",2023-10-12 15:42:47,80,65,240,49.0,,6.0,,,,295,"United for the transformation, committed to the 4T. In Jalisco, the unit is based on the principles of Morena, the organization, the mobilization and the sum of all the wills.

With our causes and Morena above all, we are invincible in Jalisco.

We believe in a more fair and equitable Mexico and Jalisco.",approval
"Hoy celebramos 98 años de la refundación de la Universidad de Guadalajara , mi alma máter. Aquí me forjé como médico y, aún más importante, descubrí el valor de la solidaridad y el compromiso de trabajar por elVer más bienestar de mi gente.

La UdeG es mucho más que una institución académica; es una conquista que garantiza el derecho a la educación para quienes como yo, somos hijos del pueblo, un faro de conocimiento y un orgullo para Jalisco y el país. ¡Feliz aniversario, Universidad de Guadalajara!",2023-10-12 14:44:51,16,10,126,16.0,1.0,1.0,,,,144,"Today we celebrate 98 years of the re -foundation of the University of Guadalajara, my alma mater. Here I forged as a doctor and, even more important, I discovered the value of solidarity and the commitment to work for the more well -being of my people.

UdeG is much more than an academic institution; It is a conquest that guarantees the right to education for those who, we are children of the people, a lighthouse of knowledge and a pride for Jalisco and the country. Happy anniversary, University of Guadalajara!",joy
Gracias a quienes confían en mí: seguiré trabajando para estar a la altura de sus esperanzas. ¡Juntas y juntos somos imparables!,2023-10-11 12:25:34,52,14,213,32.0,,3.0,,,,248,Thanks to those who trust me: I will continue working to live up to their hopes. Together and together we are unstoppable!,gratitude
"Nunca debemos perder nuestros valores humanos; el deseo de ayudar y transformar la vida de las personas, son los principios que he seguido durante toda mi vida.",2023-10-10 20:00:00,43,17,181,35.0,2.0,2.0,,3.0,,223,We must never lose our human values; The desire to help and transform people's lives are the principles that I have followed throughout my life.,approval
"Quien cumple su palabra, no tiene miedo del pasado, ni del futuro.",2023-10-10 09:30:00,59,21,251,28.0,5.0,1.0,1.0,,,286,"Who fulfills his word, is not afraid of the past, or the future.",optimism
"Quiero tomar un momento para agradecerles de corazón por sus palabras y comentarios tan alentadores.
¡Ustedes son mi motor y fuente de inspiración!",2023-10-09 20:30:00,59,27,260,37.0,5.0,5.0,,,,307,"I want to take a moment to thank you for your heart for your words and comments so encouraging.
You are my engine and source of inspiration!",admiration
Caí en la tentación de subirme al #90yearsbooktrend. ¿Qué les parece?,2023-10-09 16:01:13,130,16,544,83.0,132.0,11.0,2.0,11.0,1.0,784,I fell into temptation to get to #90yearsbooktrend. What do you think?,curiosity
#EnVivo Conferencia de prensa 09 de octubre 2024,2023-10-09 09:34:10,34,12,98,19.0,,,,,,117,"#Envivo Press Conference October 9, 2024",neutral
"Para cerrar la semana, es bueno recordar que el liderazgo se gana con amor y compromiso. Tengan un feliz domingo.",2023-10-08 20:00:00,26,4,111,18.0,,3.0,,,,132,"To close the week, it is good to remember that leadership is won with love and commitment. Have a happy Sunday.",joy
"Hoy tuvimos el honor de recibir a la Dra. Claudia Sheinbaum en Jalisco. Su compromiso con la Cuarta Transformación nos llena de inspiración.

¡Apoyamos su liderazgo como Coordinadora de Defensa de la 4T!",2023-10-07 20:30:58,61,78,398,78.0,3.0,7.0,,,,486,"Today we had the honor of receiving Dr. Claudia Sheinbaum in Jalisco. His commitment to the fourth transformation fills us with inspiration.

We support your leadership as 4T Defense Coordinator!",admiration
"Saludando a una amiga de verdad, la primera mujer en ocupar la mas alta responsabilidad en México: la Dra. Claudia Sheinbaum. ¡Ella es!",2023-10-07 13:36:07,67,95,427,75.0,4.0,7.0,1.0,,1.0,515,"Greeting a real friend, the first woman to occupy the highest responsibility in Mexico: Dr. Claudia Sheinbaum. She is!",neutral
"Hoy, mientras compartía con mi esposa e hijas, reflexionaba sobre cómo he tenido la bendición de conocer cada rincón de Jalisco y, en cada comunidad, he tenido al menos una amiga o amigo. ¡Qué hermoso regalo me ha dado Dios!",2023-10-07 12:00:00,88,16,460,56.0,9.0,5.0,,,,530,"Today, while sharing with my wife and daughters, I reflected on how I had the blessing of knowing every corner of Jalisco and, in each community, I have had at least one friend or friend. What a beautiful gift God has given me!",admiration
"El día de hoy, tuve el gusto de compartir un momento muy especial con las y los vecinos de Tonalá, quienes me invitaron a conversar sobre mi deseo de coordinar los Comités de Defensa de la Cuarta TransformaciónVer más en Jalisco.

Todavía falta mucho por hacer en Jalisco. Sigamos defendiendo el único movimiento que ama y respeta al pueblo. ¡Gracias a la cuna alfarera por la invitación!",2023-10-06 21:20:53,65,60,248,32.0,,4.0,,,,284,"Today, I had the pleasure of sharing a very special moment with the residents of Tonalá, who invited me to talk about my desire to coordinate the defense committees of the fourth transformation see more in Jalisco.

There is still much to do in Jalisco. Let's continue defending the only movement that loves and respects the people. Thanks to the alfarera crib for the invitation!",gratitude
"¿Cómo están? Cuando leo sus comentarios en las redes sociales y escucho a la gente en mis recorridos, no solo los comprendo, sino que también encuentro el camino para trabajar incansablemente por un futuro mejor para el estado. La vida me ha enseñado a tener el compromiso de servir y trabajar con honestidad, dedicación y pasión.",2023-10-06 13:00:01,80,16,314,43.0,5.0,3.0,,,,365,"How are they? When I read their comments on social networks and listen to people on my tours, I not only understand them, but also find the way to work tirelessly for a better future for the State. Life has taught me to have the commitment to serve and work with honesty, dedication and passion.",approval
"Llevo toda mi vida sirviendo a mi comunidad, y hoy, en el Distrito 4 de Zapopan, recordé mis primeras visitas de trabajo social hace casi dos décadas, de la mano de jóvenes que hoy son líderes.

Todavía hayVer más muchas carencias, pero vamos a luchar, con la conciencia y el corazón, para transformar a Jalisco y traer el bienestar a todas las familias.",2023-10-05 21:00:51,49,20,243,30.0,,1.0,,,,274,"I have been serving my community all my life, and today, in District 4 of Zapopan, I remembered my first social work visits almost two decades, by the hand of young people who are leaders today.

There are still more much deficiencies, but we are going to fight, with consciousness and heart, to transform Jalisco and bring well -being to all families.",realization
"Las mujeres de Jalisco merecen vivir libres, plenas y con dignidad. Hagamos de este sueño una realidad.",2023-10-05 07:00:03,18,13,130,15.0,,,1.0,,,146,"Jalisco's women deserve to live free, full and dignity. Let's make this dream a reality.",approval
"El día de hoy tengo el honor de compartir un diálogo con militantes y simpatizantes de Morena en Teuchitlán. En esta reunión, les hablo sobre mi compromiso con la Cuarta Transformación y por qué motivo aspiro aVer más coordinar los Comités de Defensa de la #4T en Jalisco.

Llevo casi 20 años comprometido en esta lucha por un México mejor, y ahora, más que nunca, aspiro a que esta transformación llegue a nuestro estado en buenas manos.

Juntos, seremos el motor de la esperanza y la transformación para Jalisco.",2023-10-04 20:02:49,64,27,272,34.0,3.0,2.0,,,,311,"Today I have the honor of sharing a dialogue with MORENA militants and supporters in Teuchitlán. In this meeting, I talk about my commitment to the fourth transformation and why I aspire to coordinate the defense committees of the #4T in Jalisco.

I have been committed to this fight for a better Mexico for almost 20 years, and now, more than ever, I aspire that this transformation reaches our state in good hands.

Together, we will be the engine of hope and transformation for Jalisco.",pride
"Con perseverancia, compromiso y mucho trabajo, los sueños se cumplen.",2023-10-04 12:00:00,24,18,135,19.0,,,,,,154,"With perseverance, commitment and a lot of work, dreams are fulfilled.",approval
"El inversor y empresario Warren Buffett acuñó
la frase: ""La honestidad es un regalo costoso,
no lo esperes de personas baratas"". Y sin duda,
en la vida, la integridad es la base de una
sociedad fuerte y próspera. ¡Tengan un buen
arranque de semana!",2023-10-02 17:01:29,105,37,529,167.0,12.0,65.0,,,,773,"The investor and businessman Warren Buffett coined
The phrase: ""honesty is an expensive gift,
Don't expect it from cheap people. ""And without a doubt,
In life, integrity is the basis of a
strong and prosperous society. Have a good
Week start!",optimism
,2023-10-02 09:44:48,36,28,273,148.0,2.0,48.0,1.0,,,472,Nan,disapproval
"En 2017, mi amigo y maestro Andrés Manuel López Obrador escribió este libro, poniendo claro su proyecto alternativo de nación.
A seis años, y listos para la siguiente transformación, sólo puedo decir:
Misión cumplida, Presidente.",2023-10-01 20:00:01,24,25,183,27.0,1.0,1.0,,,,212,"In 2017, my friend and teacher Andrés Manuel López Obrador wrote this book, making clear his alternative nation project.
Six years old, and ready for the next transformation, I can only say:
Mission fulfilled, president.",optimism
"Los quioscos de Jalisco están llenos de historia y recuerdos.
A ver, ¿cuáles reconocen de estas fotos?",2023-09-30 12:00:00,26,36,273,24.0,2.0,4.0,,,,303,"Jalisco kiosks are full of history and memories.
Let's see, which ones do you recognize from these photos?",confusion
"Con el pueblo todo, por el pueblo todo.",2023-09-29 13:00:00,43,14,263,22.0,1.0,5.0,,,,291,"With the people everything, for the people everything.",neutral
No podemos cerrar los ojos ante la injusticia. La brecha salarial de género persiste y no podemos permitir que eso siga pasando.,2023-09-28 07:00:01,16,12,145,12.0,1.0,4.0,,,,162,We cannot close our eyes to injustice. The gender wage gap persists and we cannot allow that to continue.,realization
"El día de hoy se realizó la segunda Sesión Extraordinaria del Consejo Estatal de Morena, de la que salimos más fortalecidos como movimiento. Agradezco a mis compañeras y compañeros por su compromiso yVer más dedicación.

Estamos llamados a ser parte de un proyecto transformador para Jalisco, y juntos lograremos un estado más justo y equitativo.

En este camino, nuestra unidad es nuestra mayor fortaleza. Sigamos adelante con un proceso interno limpio, incluyente y respetuoso, y que sea el pueblo de Jalisco quien decida. ¡Juntas y juntos somos más fuertes!",2023-09-27 22:41:13,109,70,415,68.0,7.0,6.0,,,,496,"Today the second extraordinary session of the State Council of Morena was held, from which we were more strengthened as movement. I thank my partners and colleagues for their commitment and see more dedication.

We are called to be part of a transforming project for Jalisco, and together we will achieve a fairer and more equitable state.

On this path, our unity is our greatest strength. Let us continue with a clean, inclusive and respectful internal process, and that it is the people of Jalisco who decides. Together and together we are stronger!",admiration
"Todo se puede lograr si trabajamos con convicción y honestidad.
¡Hagamos posibles nuestros sueños!",2023-09-27 12:00:01,36,34,275,32.0,8.0,4.0,,,,319,"Everything can be achieved if we work with conviction and honesty.
Let's make our dreams possible!",approval
"Hoy estamos ante un proyecto que arrancamos hace 19 años; que ha soportado innumerables ataques y descalificaciones. Pero nada nos ha detenido, y aquí estoy con la cabeza en alto y el corazón encendido a puntoVer más de alcanzar el sueño.

La esperanza es lo que nos ha mantenido en todos estos años, luchando, trabajando y construyendo este gran movimiento de transformación que hoy exigen las y los jaliscienses. Estamos preparados, estamos listos, y estamos deseosos de arrancar porque Jalisco nos está llamando.

Hoy les anuncio que me he registrado para ser el Coordinador de la Defensa de la Cuarta Transformación en Jalisco.",2023-09-26 15:03:27,148,107,710,172.0,50.0,89.0,,1.0,2.0,1024,"Today we are facing a project that we started 19 years ago; which has supported innumerable attacks and disqualifications. But nothing has stopped us, and here I am with my head up and my heart ignited more to reach sleep.

Hope is what has kept us in all these years, fighting, working and building this great transformation movement that the Jalisco demands today. We are prepared, we are ready, and we are eager to start because Jalisco is calling us.

Today I announce that I have registered to be the coordinator of the defense of the fourth transformation in Jalisco.",approval
"Hoy comienza una nueva oportunidad, una que marcará el rumbo de nuestro estado y por la que hemos trabajado durante tanto tiempo. ¡La transformación llegará a Jalisco este 2024!",2023-09-26 12:00:14,53,22,129,46.0,4.0,1.0,,,,180,"Today begins a new opportunity, one that will mark the course of our state and for which we have worked for so long. The transformation will arrive in Jalisco this 2024!",optimism
La honestidad es la mejor virtud que podemos heredar a nuestras hijas e hijos. ¡La verdad nos hará libres!,2023-09-25 18:56:20,102,48,495,59.0,68.0,8.0,2.0,,,632,Honesty is the best virtue that we can inherit our daughters and sons. The truth will make us free!,approval
"Estoy de todo corazón con mis amigas y amigos de Autlán de Navarro que están sufriendo por el desborde del arroyo El Cangrejo, que ya ha causado fallecimientos y familias damnificadas.

En estos momentos, la fuerza y solidaridad de los jaliscienses hará la diferencia.",2023-09-25 15:56:01,7,7,99,12.0,,2.0,,,,113,"I am of all my heart with my friends and friends of Autlán de Navarro who are suffering from the overflow of the El Cangrejo stream, which has already caused deaths and affected families.

At the moment, the strength and solidarity of the Jalisco will make the difference.",sadness
,2023-09-25 09:34:33,12,19,251,74.0,,81.0,,,,406,Nan,disapproval
"Guadalajara es el alma de Jalisco y el corazón de México: el centro de una zona metropolitana con mucho potencial, pero también con muchos problemas y desigualdades.

Recuperemos el orgullo que nos da ser de la Perla de Occidente.",2023-09-23 13:55:16,16,26,331,77.0,1.0,83.0,,,,492,"Guadalajara is the soul of Jalisco and the heart of Mexico: the center of a metropolitan area with a lot of potential, but also with many problems and inequalities.

Let's recover the pride that gives us to be from the pearl of the West.",realization
