texto,texto_ingles,emocion
"Alfaro miente, los datos no. Estamos muy a tiempo de enderezar el rumbo y cambiar la manera de gobernar.      ","Alfaro lies, no data. We are very in time to straighten the course and change the way of governing.",optimism
"Gracias Erika, por esta plática. Deseo compartir contigo y con tu familia muchas anécdotas más. #DocCast  #DocCast  #DocCast ","Thanks Erika, for this talk. I want to share with you and with your family many more anecdotes. #DOCCAST #DOCCAST #DOCCAST",gratitude
"Movimiento Ciudadano será recordado por lastimar dolosamente la economía de las familias, con sus multas, sus impuestos y sus programas recaudatorios.      ","Citizen Movement will be remembered for hurting the economy of families, with their fines, their taxes and their collection programs.",neutral
Jalisco necesita un gobierno que garantice a las mujeres acceder a cargos de liderazgo y tener una representación equitativa en la toma de decisiones.      ,Jalisco needs a government that guarantees women to access leadership positions and have an equitable representation in decision making.,desire
"Les comparto algo de lo que verán en el próximo episodio del #DocCast , donde tuve la oportunidad de platicar con una gran compañera de lucha. #DocCast , donde tuve la oportunidad de platicar con una gran compañera de lucha. #DocCast , donde tuve la oportunidad de platicar con una gran compañera de lucha.","I share something they will see in the next #Doccast episode, where I had the opportunity to talk with a great fighting companion. #Doccast, where I had the opportunity to talk with a great fighting companion. #Doccast, where I had the opportunity to talk with a great fighting companion.",neutral
"Cada abrazo, cada sonrisa, cada muestra de cariño, son la fuerza que me motiva a seguir. #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ","Each hug, every smile, every sample of affection, is the force that motivates me to follow. #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI",admiration
Un honor ser aliado de lucha de grandes mujeres. ¡Adelante compañeras! #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ,An honor to be allied of struggle of great women. Go ahead! #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI,admiration
"Lo dijo nuestro presidente Andrés Manuel López Obrador hoy en la mañanera, con la voluntad del pueblo, la  transformación de Jalisco avanza a paso firme y nadie podrá detenerla. #morenava  #morenava  #morenava ","Our President Andrés Manuel López Obrador said today in the morning, with the will of the people, the transformation of Jalisco advances to a firm pace and no one can stop it. #Morenava #Morenava #Morenava",approval
¡Es una delicia de nuestro estado! #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ,It is a delight of our state! #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI,neutral
"Gracias por tantos momentos juntos, Pato. Siempre contarás conmigo. #DocCast  #DocCast  #DocCast ","Thanks for so many moments together, duck. You will always count on me. #DOCCAST #DOCCAST #DOCCAST",gratitude
"Para realmente celebrar a Jalisco, necesitamos que llegue la Cuarta Transformación, con un gobierno que vea por el pueblo, y vivamos en una tierra donde la dignidad se haga costumbre.      ","To really celebrate Jalisco, we need the fourth transformation to arrive, with a government that sees the people, and live in a land where dignity is customary.",joy
Feliz #díadelpadre2023 para todos quienes tienen la dicha de serlo. ¡Un abrazo! #díadelpadre2023 para todos quienes tienen la dicha de serlo. ¡Un abrazo! #díadelpadre2023 para todos quienes tienen la dicha de serlo. ¡Un abrazo!,Happy #DíadelPadre2023 for all who have the joy of being. A hug! #DíadelPadre2023 for all who have the joy of being. A hug! #DíadelPadre2023 for all who have the joy of being. A hug!,joy
"En Jalisco, al igual que la maestra @Delfina Gómez Álvarez estamos listos para el gran reto de aterrizar la cuarta transformación. @Delfina Gómez Álvarez estamos listos para el gran reto de aterrizar la cuarta transformación. @Delfina Gómez Álvarez estamos listos para el gran reto de aterrizar la cuarta transformación.","In Jalisco, like the teacher @Delfina Gómez Álvarez we are ready for the great challenge of landing the fourth transformation. @Delfina Gómez Álvarez we are ready for the great challenge of landing the fourth transformation. @Delfina Gómez Álvarez we are ready for the great challenge of landing the fourth transformation.",excitement
"En esta batalla, no hay tiempo que perder. Les comparto un resumen semanal de mis actividades.      ","In this battle, there is no time to lose. I share a weekly summary of my activities.",neutral
"La falta de transparencia en el programa de verificación y la criminalización del parque vehicular viejo, tiene muy enojados a las y los ciudadanos, por eso piden #verificacióngratuita  #verificacióngratuita  #verificacióngratuita ","The lack of transparency in the verification program and the criminalization of the old vehicle park, has very angry to the citizens, so they ask for #Gratuita verification # -Gratuita #Verification Gratuita",anger
No a la verificación recaudatoria de Movimiento Ciudadano.      ,No to the collection verification of the Citizen Movement.,disapproval
"Vamos a seguir denunciando lo que pasa en nuestra ciudad. Cuentan con nosotros, en Guadalajara hay oposición.      ","We will continue to denounce what happens in our city. They have us, in Guadalajara there is opposition.",neutral
La lealtad y la honestidad son los valores más significativos que aprendí de mi mamá y de mi papá. #DocCast  #DocCast  #DocCast ,Loyalty and honesty are the most significant values ​​I learned from my mother and my dad. #DOCCAST #DOCCAST #DOCCAST,approval
"Nos oponemos a la verificación recaudatoria que Movimiento Ciudadano está imponiendo a las y los jaliscienses.  ¡Afinación sí, verificación recaudatoria no!  ¡Afinación sí, verificación recaudatoria no!  ¡Afinación sí, verificación recaudatoria no!","We oppose the collection verification that Citizen Movement is imposing on the Jalisco. A tuning yes, no collection verification! A tuning yes, no collection verification! A tuning yes, no collection verification!",disapproval
Spoiler de lo que verán próximamente en el #DocCast 😎 ¡No se lo pierdn! #DocCast 😎 ¡No se lo pierdn! #DocCast 😎 ¡No se lo pierdn!,Spoiler of what you will see soon at the #Doccast 😎 Don't lose it! #Doccast 😎 Don't lose it! #Doccast 😎 Don't lose it!,caring
Gracias por ser parte de esta historia. ¡Les quiero mucho! #amorconamorsepaga  #amorconamorsepaga  #amorconamorsepaga ,Thanks for being part of this story. I love them very much! #Morconamorsepaga #amorconamorsepaga #amorconamorsepaga,gratitude
¡Estamos listos para apoyar al rebaño sagrado! Hoy remontamos en casa y pasamos a la semifinal. ¡Arriba las #Chivas ! #Chivas ! #Chivas !,We are ready to support the sacred flock! Today we go back at home and move on to the semifinal. Above the #chivas! #Chivas! #Chivas!,approval
"Para ser un buen politico, hay que tenerle amor al pueblo. #politica  #politica  #politica ","To be a good politician, you have to have love to the people. #Politics #Politics #Politics",love
"¡Con #Morena , Jalisco va a cambiar! #Morena , Jalisco va a cambiar! #Morena , Jalisco va a cambiar!","With #Morena, Jalisco will change! #Morena, Jalisco will change! #Morena, Jalisco will change!",approval
"Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.      ","Here I am, with my head up and my heart on, about to reach this dream.",neutral
"En #morena hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo. #morena hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo. #morena hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo.","In #Morena we have permanently fought the corruption of Citizen Movement. We will not stop, so we will continue because we act under the principles of not lying, not stealing and not betraying the mandate of the people. #MoRena we have permanently fought the corruption of Citizen Movement. We will not stop, so we will continue because we act under the principles of not lying, not stealing and not betraying the mandate of the people. #MoRena we have permanently fought the corruption of Citizen Movement. We will not stop, so we will continue because we act under the principles of not lying, not stealing and not betraying the mandate of the people.",approval
"En esta batalla, no hay tiempo que perder. Les comparto un resumen semanal de mis actividades.      ","In this battle, there is no time to lose. I share a weekly summary of my activities.",neutral
"La falta de transparencia en el programa de verificación y la criminalización del parque vehicular viejo, tiene muy enojados a las y los ciudadanos, por eso piden #verificacióngratuita  #verificacióngratuita  #verificacióngratuita ","The lack of transparency in the verification program and the criminalization of the old vehicle park, has very angry to the citizens, so they ask for #Gratuita verification # -Gratuita #Verification Gratuita",anger
No a la verificación recaudatoria de Movimiento Ciudadano.      ,No to the collection verification of the Citizen Movement.,disapproval
"Vamos a seguir denunciando lo que pasa en nuestra ciudad. Cuentan con nosotros, en Guadalajara hay oposición.      ","We will continue to denounce what happens in our city. They have us, in Guadalajara there is opposition.",neutral
La lealtad y la honestidad son los valores más significativos que aprendí de mi mamá y de mi papá. #DocCast  #DocCast  #DocCast ,Loyalty and honesty are the most significant values ​​I learned from my mother and my dad. #DOCCAST #DOCCAST #DOCCAST,approval
"Nos oponemos a la verificación recaudatoria que Movimiento Ciudadano está imponiendo a las y los jaliscienses.  ¡Afinación sí, verificación recaudatoria no!  ¡Afinación sí, verificación recaudatoria no!  ¡Afinación sí, verificación recaudatoria no!","We oppose the collection verification that Citizen Movement is imposing on the Jalisco. A tuning yes, no collection verification! A tuning yes, no collection verification! A tuning yes, no collection verification!",disapproval
Spoiler de lo que verán próximamente en el #DocCast 😎 ¡No se lo pierdn! #DocCast 😎 ¡No se lo pierdn! #DocCast 😎 ¡No se lo pierdn!,Spoiler of what you will see soon at the #Doccast 😎 Don't lose it! #Doccast 😎 Don't lose it! #Doccast 😎 Don't lose it!,caring
Gracias por ser parte de esta historia. ¡Les quiero mucho! #amorconamorsepaga  #amorconamorsepaga  #amorconamorsepaga ,Thanks for being part of this story. I love them very much! #Morconamorsepaga #amorconamorsepaga #amorconamorsepaga,gratitude
¡Estamos listos para apoyar al rebaño sagrado! Hoy remontamos en casa y pasamos a la semifinal. ¡Arriba las #Chivas ! #Chivas ! #Chivas !,We are ready to support the sacred flock! Today we go back at home and move on to the semifinal. Above the #chivas! #Chivas! #Chivas!,approval
"Para ser un buen politico, hay que tenerle amor al pueblo. #politica  #politica  #politica ","To be a good politician, you have to have love to the people. #Politics #Politics #Politics",love
"¡Con #Morena , Jalisco va a cambiar! #Morena , Jalisco va a cambiar! #Morena , Jalisco va a cambiar!","With #Morena, Jalisco will change! #Morena, Jalisco will change! #Morena, Jalisco will change!",approval
"Vamos por la unidad, la paz y la reconciliación. #MorenaVa  #MorenaVa  #MorenaVa ","We go for unity, peace and reconciliation. #Morenava #Morenava #Morenava",approval
Mañana el gobierno de Lemus y Movimiento Ciudadano van a autorizar un atraco más para #Guadalajara  #Guadalajara  #Guadalajara ,Tomorrow the government of Lemus and Citizen Movement will authorize one more robbery for #guadalajara #guadalajara #guadalajara,neutral
Recupérate presidente Andrés Manuel López Obrador.  Un abrazo desde Jalisco. 🫶 #andresmanuellopezobrador  #andresmanuellopezobrador  #andresmanuellopezobrador ,Recover President Andrés Manuel López Obrador. A hug from Jalisco. 🫶 #Andresmanuellopezobrador #AndresMuellopezBrador #andresmanuellopezobrador,neutral
"¡Hasta Barbie lo sabe; el cambio llegará a Jalisco, esto se va poner muy bueno! #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ","Even Barbie knows it; The change will arrive in Jalisco, this is going very good! #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI",approval
Ya todos lo saben ¡Morena es el cambio! ❤️ #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ,Everyone already knows it is the change! ❤️ #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI,approval
"Así los gobiernos 🍊, construyen obras caras y chafas 😡 #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ","Thus the governments 🍊, build expensive works and chafas 😡 #drcarloslomeli #drcarloslomeli #drcarloslomeli",neutral
Fue un gusto! 😄 #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ,It was a pleasure! 😄 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,joy
"Nos agarró la lluvia, pero seguimos firmes celebrando la soberanía energética. #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ","The rain grabbed us, but we are still firm celebrating energy sovereignty. #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI",neutral
"Con Morena en el 2024, afinación sí, verificación no. #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ","With Morena in 2024, tuning yes, no verification. #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI",neutral
Es un gusto tenerte en Jalisco @Mario Delgado 👏🏻 @Mario Delgado 👏🏻 @Mario Delgado 👏🏻,It is a pleasure to have you at Jalisco @Mario Delgado 👏🏻 @Mario Delgado 👏🏻 @Mario Delgado 👏🏻,joy
Y por muchos años más! 🫶🏻 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,And for many more years! 🫶🏻 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,neutral
Tenemos al mejor 👌🏻 #drcarloslomeli  #drcarloslomeli  #drcarloslomeli ,We have the best 👌🏻 #drcarloslomeli #drcarlosLomeli #drcarlosLomeli,admiration
😃🫶🏻 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,😃🫶🏻 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,neutral
Jalisco necesita una transformación. #guadalajara  #guadalajara  #guadalajara ,Jalisco needs a transformation. #guadalajara #guadalajara #guadalajara,neutral
Delicioso! 😋 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,Delicious! 😋 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,disgust
Viernes de Alianza Patriótica!!! 🙌🏻 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,Patriotic Alliance Friday !!! 🙌🏻 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,curiosity
Otra vez se quema el bosque de la #primavera 🙁 #primavera 🙁 #primavera 🙁,Again the #Primavera forest is burned 🙁 #PRIMAVERA 🙁 #PRIMAVERA 🙁,annoyance
😃 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,😃 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,neutral
🎥 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,🎥 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,approval
🎠 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,🎠 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,neutral
"Gracias por acompañarnos el día de hoy, y claro que #SigueLópez 🫶🏻 #SigueLópez 🫶🏻 #SigueLópez 🫶🏻","Thanks for accompanying us today, and of course that #Siguelzpez 🫶🏻 #Siguelópez 🫶🏻 #Siguelópez 🫶🏻",gratitude
"No me gusta, me encanta!!! #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ",I do not like I love!!! #DRCARLOSLOMELI #DRCARLOSLOMELI #DRCARLOSLOMELI,anger
Es un honor estar con Obrador! 🙌🏻 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,It is an honor to be with Obrador! 🙌🏻 #drcarlosLomeli #drcarlosLomeli #drcarlosLomeli,joy
Es que si está muy buena la canción 😅 #DrCarlosLomeli  #DrCarlosLomeli  #DrCarlosLomeli ,Is that if the song is very good 😅 #drcarloslomeli #drcarloslomeli #drcarlosLomeli,confusion
¡Feliz cumple 481 Guadalajara querida! #SanValentin  #SanValentin  #SanValentin ,Happy meets 481 Guadalajara dear! #SanValentin #Sanvalentin #Sanvalentin,neutral
Que mejor día para inaugurar nuestro Tiktok que este 14 de febrero! #SanValentin  #SanValentin  #SanValentin ,What better day to inaugurate our Tiktok than this February 14! #SanValentin #Sanvalentin #Sanvalentin,excitement
