,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
17,si lo postulan seria claro un acuerdo con mc para que mantenga ese estado y juegue a favor en la campaña federal mexico,"['postulan', 'seria', 'claro', 'acuerdo', 'mc', 'mantenga', 'juegue', 'favor', 'campaña', 'federal', 'mexico']","['postular', 'serio', 'mc', 'mantener', 'juegue', 'favor', 'campaña', 'federal', 'mexico']","[('si', 'lo'), ('lo', 'postulan'), ('postulan', 'seria'), ('seria', 'claro'), ('claro', 'un'), ('un', 'acuerdo'), ('acuerdo', 'con'), ('con', 'mc'), ('mc', 'para'), ('para', 'que'), ('que', 'mantenga'), ('mantenga', 'ese'), ('ese', 'estado'), ('estado', 'y'), ('y', 'juegue'), ('juegue', 'a'), ('a', 'favor'), ('favor', 'en'), ('en', 'la'), ('la', 'campaña'), ('campaña', 'federal'), ('federal', 'mexico')]",si él postular serio claro uno acuerdo con mc para que mantener ese estado y juegue a favor en el campaña federal mexico,2.7926178939452048e-05
20,catando tienditas el día de hoy le tocó a las deliciosas de lara 1010 por nacotas fypシ,"['catando', 'tienditas', 'tocó', 'deliciosas', 'lara', 'nacotas', 'fypシ']","['catar', 'tiendita', 'tocar', 'deliciosa', 'lara', 'nacota', 'fypシ']","[('catando', 'tienditas'), ('tienditas', 'el'), ('el', 'día'), ('día', 'de'), ('de', 'hoy'), ('hoy', 'le'), ('le', 'tocó'), ('tocó', 'a'), ('a', 'las'), ('las', 'deliciosas'), ('deliciosas', 'de'), ('de', 'lara'), ('lara', '1010'), ('1010', 'por'), ('por', 'nacotas'), ('nacotas', 'fypシ')]",catar tiendita el día de hoy él tocar a el deliciosa de lara 1010 por nacota fypシ,0.0014353938452861786
22,xd  humour,"['xd', 'humour']","['xd', 'humour']","[('xd', ' '), (' ', 'humour')]",xd   humour,0.49789225920557484
0,empoderemos a las mujeres en jalisco con un aliado el dr carlos lomelí  jalisco,"['empoderemos', 'mujeres', 'aliado', 'carlos', 'lomelí']","['empoderer', 'mujer', 'jalisco', 'aliado', 'dr', 'carlos', 'lomelí', 'jalisco']","[('empoderemos', 'a'), ('a', 'las'), ('las', 'mujeres'), ('mujeres', 'en'), ('en', 'jalisco'), ('jalisco', 'con'), ('con', 'un'), ('un', 'aliado'), ('aliado', 'el'), ('el', 'dr'), ('dr', 'carlos'), ('carlos', 'lomelí'), ('lomelí', ' '), (' ', 'jalisco')]",empoderer a el mujer en jalisco con uno aliado el dr carlos lomelí   jalisco,0.3069547272515054
5,no se haga doc morena,['haga'],"['hacer', 'doc', 'morena']","[('no', 'se'), ('se', 'haga'), ('haga', 'doc'), ('doc', 'morena')]",no él hacer doc morena,0.028742211744513562
7,de doctor a doctora claudia sheinbaum pardo,"['doctora', 'claudia', 'sheinbaum', 'pardo']","['doctor', 'doctoro', 'claudia', 'sheinbaum', 'pardo']","[('de', 'doctor'), ('doctor', 'a'), ('a', 'doctora'), ('doctora', 'claudia'), ('claudia', 'sheinbaum'), ('sheinbaum', 'pardo')]",de doctor a doctoro claudia sheinbaum pardo,0.46127768308170247
9,entrevista en symposium,"['entrevista', 'symposium']","['entrevista', 'symposium']","[('entrevista', 'en'), ('en', 'symposium')]",entrevista en symposium,0.48728019602140255
12,entrevista en symposium,"['entrevista', 'symposium']","['entrevista', 'symposium']","[('entrevista', 'en'), ('en', 'symposium')]",entrevista en symposium,0.48728019602140255
20,xico esclaudia,"['xico', 'esclaudia']","['xico', 'esclaudia']","[('xico', 'esclaudia')]",xico esclaudia,0.49789225920557484
21,niega dr carlos lomelí,"['niega', 'carlos', 'lomelí']","['negar', 'dr', 'carlos', 'lomelí']","[('niega', 'dr'), ('dr', '\u2002'), ('\u2002', 'carlos'), ('carlos', '\u2002'), ('\u2002', 'lomelí')]",negar dr   carlos   lomelí,0.49789225920557484
23,el morenistas y regidor por guadalajara el dr carlos lomelí dr carlos lomelí,"['morenistas', 'regidor', 'guadalajara', 'carlos', 'lomelí', 'carlos', 'lomelí']","['morenista', 'regidor', 'guadalajara', 'dr', 'carlos', 'lomelí', 'dr', 'carlos', 'lomelí']","[('el', 'morenistas'), ('morenistas', 'y'), ('y', 'regidor'), ('regidor', 'por'), ('por', 'guadalajara'), ('guadalajara', 'el'), ('el', 'dr'), ('dr', 'carlos'), ('carlos', 'lomelí'), ('lomelí', 'dr'), ('dr', '\u2002'), ('\u2002', 'carlos'), ('carlos', '\u2002'), ('\u2002', 'lomelí')]",el morenista y regidor por guadalajara el dr carlos lomelí dr   carlos   lomelí,0.37912180977527105
24,el doc carloslomeli,['carloslomeli'],"['doc', 'carloslomeli']","[('el', 'doc'), ('doc', 'carloslomeli')]",el doc carloslomeli,0.5136446707795853
25, drcarloslimon,['drcarloslimon'],['drcarloslimon'],"[(' ', 'drcarloslimon')]",  drcarloslimon,0.49789225920557484
26,respuesta a maziel rolque,"['respuesta', 'maziel', 'rolque']","['respuesta', 'maziel', 'rolque']","[('respuesta', 'a'), ('a', 'maziel'), ('maziel', 'rolque')]",respuesta a maziel rolque,0.09706990457057893
27,mi hermoso colima colima,"['hermoso', 'colima', 'colima']","['hermoso', 'colimo', 'colimo']","[('mi', 'hermoso'), ('hermoso', 'colima'), ('colima', 'colima')]",mi hermoso colimo colimo,0.8154719109213224
30,recomendadisimo savvy,"['recomendadisimo', 'savvy']","['recomendadisimo', 'savvy']","[('recomendadisimo', 'savvy')]",recomendadisimo savvy,0.49789225920557484
31,mientras movimiento ciudadano y el gobierno dd guadalara quieren más impuestos en morena,"['mientras', 'movimiento', 'ciudadano', 'gobierno', 'guadalara', 'quieren', 'impuestos']","['movimiento', 'ciudadano', 'gobierno', 'dd', 'guadalarar', 'querer', 'impuesto', 'morena']","[('mientras', 'movimiento'), ('movimiento', 'ciudadano'), ('ciudadano', 'y'), ('y', 'el'), ('el', 'gobierno'), ('gobierno', 'dd'), ('dd', 'guadalara'), ('guadalara', 'quieren'), ('quieren', 'más'), ('más', 'impuestos'), ('impuestos', 'en'), ('en', 'morena')]",mientras movimiento ciudadano y el gobierno dd guadalarar querer más impuesto en morena,0.06410388909674722
41,el éxito es como una obra de arte su significado es único para cada persona   carlos lomeli,"['éxito', 'obra', 'arte', 'significado', 'único', 'cada', 'persona', 'carlos', 'lomeli']","['éxito', 'obra', 'arte', 'significado', 'único', 'persona', 'carlos', 'lomeli']","[('el', 'éxito'), ('éxito', 'es'), ('es', 'como'), ('como', 'una'), ('una', 'obra'), ('obra', 'de'), ('de', 'arte'), ('arte', 'su'), ('su', 'significado'), ('significado', 'es'), ('es', 'único'), ('único', 'para'), ('para', 'cada'), ('cada', 'persona'), ('persona', '  '), ('  ', 'carlos'), ('carlos', 'lomeli')]",el éxito ser como uno obra de arte su significado ser único para cada persona    carlos lomeli,0.03765345164645364
42,tenemos que sacar a movimiento ciudadano de jalisco jalisco,"['sacar', 'movimiento', 'ciudadano']","['sacar', 'movimiento', 'ciudadano', 'jalisco', 'jalisco']","[('tenemos', 'que'), ('que', 'sacar'), ('sacar', 'a'), ('a', 'movimiento'), ('movimiento', 'ciudadano'), ('ciudadano', 'de'), ('de', 'jalisco'), ('jalisco', 'jalisco')]",tener que sacar a movimiento ciudadano de jalisco jalisco,0.10857882697108057
44,be like alejandramorale208,"['be', 'like']","['be', 'like']","[('be', 'like'), ('like', 'alejandramorale208')]",be like alejandramorale208,0.49789225920557484
45,juro por dios cover banda tierra sagrada purotalentop,"['juro', 'dios', 'cover', 'banda', 'tierra', 'sagrada', 'purotalentop']","['juro', 'dio', 'cover', 'banda', 'tierra', 'sagrado', 'purotalentop']","[('juro', 'por'), ('por', 'dios'), ('dios', 'cover'), ('cover', 'banda'), ('banda', 'tierra'), ('tierra', 'sagrada'), ('sagrada', 'purotalentop')]",juro por dio cover banda tierra sagrado purotalentop,0.6128726279532205
50,tenemos que sacar a movimiento ciudadano de jalisco jalisco,"['sacar', 'movimiento', 'ciudadano']","['sacar', 'movimiento', 'ciudadano', 'jalisco', 'jalisco']","[('tenemos', 'que'), ('que', 'sacar'), ('sacar', 'a'), ('a', 'movimiento'), ('movimiento', 'ciudadano'), ('ciudadano', 'de'), ('de', 'jalisco'), ('jalisco', 'jalisco')]",tener que sacar a movimiento ciudadano de jalisco jalisco,0.10857882697108057
52,be like alejandramorale208,"['be', 'like']","['be', 'like']","[('be', 'like'), ('like', 'alejandramorale208')]",be like alejandramorale208,0.49789225920557484
53,juro por dios cover banda tierra sagrada purotalentop,"['juro', 'dios', 'cover', 'banda', 'tierra', 'sagrada', 'purotalentop']","['juro', 'dio', 'cover', 'banda', 'tierra', 'sagrado', 'purotalentop']","[('juro', 'por'), ('por', 'dios'), ('dios', 'cover'), ('cover', 'banda'), ('banda', 'tierra'), ('tierra', 'sagrada'), ('sagrada', 'purotalentop')]",juro por dio cover banda tierra sagrado purotalentop,0.6128726279532205
59,porfavor si tienes problemas para respirar acude con un otorrino,"['porfavor', 'problemas', 'respirar', 'acude', 'otorrino']","['porfavor', 'tener', 'problema', 'respirar', 'acudir', 'otorrino']","[('porfavor', 'si'), ('si', 'tienes'), ('tienes', 'problemas'), ('problemas', 'para'), ('para', 'respirar'), ('respirar', 'acude'), ('acude', 'con'), ('con', 'un'), ('un', 'otorrino')]",porfavor si tener problema para respirar acudir con uno otorrino,0.19613646870216
61,me gustas al natural relsb,"['gustas', 'natural', 'relsb']","['gustar', 'natural', 'relsb']","[('me', 'gustas'), ('gustas', 'al'), ('al', 'natural'), ('natural', 'relsb')]",yo gustar al natural relsb,0.3269745550501543
62,circunsición con grapadora vs con láser cómo es cada una rs ce 9112185 une cp 12889324 uanl cofepris 2319032002a00047 httpurologocarlosguerracom menshealth,"['circunsición', 'grapadora', 'vs', 'láser', 'cómo', 'cada', 'rs', 'une', 'cp', 'uanl', 'cofepris', 'httpurologocarlosguerracom', 'menshealth']","['circunsición', 'grapadora', 'vs', 'láser', 'rs', 'ce', 'unir', 'cp', 'uanl', 'cofepris', 'httpurologocarlosguerracom', 'menshealth']","[('circunsición', 'con'), ('con', 'grapadora'), ('grapadora', 'vs'), ('vs', 'con'), ('con', 'láser'), ('láser', 'cómo'), ('cómo', 'es'), ('es', 'cada'), ('cada', 'una'), ('una', 'rs'), ('rs', 'ce'), ('ce', '9112185'), ('9112185', 'une'), ('une', 'cp'), ('cp', '12889324'), ('12889324', 'uanl'), ('uanl', 'cofepris'), ('cofepris', '2319032002a00047'), ('2319032002a00047', 'httpurologocarlosguerracom'), ('httpurologocarlosguerracom', 'menshealth')]",circunsición con grapadora vs con láser cómo ser cada uno rs ce 9112185 unir cp 12889324 uanl cofepris 2319032002a00047 httpurologocarlosguerracom menshealth,0.2858374598939068
64,cuidado  no es recomendable extraer premolares para la ortodoncia   maxilofacial,"['cuidado', 'recomendable', 'extraer', 'premolares', 'ortodoncia', 'maxilofacial']","['cuidado', 'recomendable', 'extraer', 'premolar', 'ortodoncia', 'maxilofacial']","[('cuidado', ' '), (' ', 'no'), ('no', 'es'), ('es', 'recomendable'), ('recomendable', 'extraer'), ('extraer', 'premolares'), ('premolares', 'para'), ('para', 'la'), ('la', 'ortodoncia'), ('ortodoncia', '  '), ('  ', 'maxilofacial')]",cuidado   no ser recomendable extraer premolar para el ortodoncia    maxilofacial,0.1606629558543377
65,lipo hd drsiluetaperfect,"['lipo', 'hd', 'drsiluetaperfect']","['lipo', 'hd', 'drsiluetaperfect']","[('lipo', 'hd'), ('hd', 'drsiluetaperfect')]",lipo hd drsiluetaperfect,0.49789225920557484
66,respuesta a __tussibaby,['respuesta'],"['respuesta', 'tussibaby']","[('respuesta', 'a'), ('a', '_'), ('_', '_'), ('_', 'tussibaby')]",respuesta a _ _ tussibaby,0.09706990457057893
67,viendo la cotorrisa,"['viendo', 'cotorrisa']","['ver', 'cotorrisa']","[('viendo', 'la'), ('la', 'cotorrisa')]",ver el cotorrisa,0.28684659386477
68,dr carlos jaramillo cancer,"['carlos', 'jaramillo', 'cancer']","['dr', 'carlos', 'jaramillo', 'cancer']","[('dr', 'carlos'), ('carlos', 'jaramillo'), ('jaramillo', 'cancer')]",dr carlos jaramillo cancer,0.49789225920557484
70,circunsición con grapadora vs con láser cómo es cada una rs ce 9112185 une cp 12889324 uanl cofepris 2319032002a00047 httpurologocarlosguerracom menshealth,"['circunsición', 'grapadora', 'vs', 'láser', 'cómo', 'cada', 'rs', 'une', 'cp', 'uanl', 'cofepris', 'httpurologocarlosguerracom', 'menshealth']","['circunsición', 'grapadora', 'vs', 'láser', 'rs', 'ce', 'unir', 'cp', 'uanl', 'cofepris', 'httpurologocarlosguerracom', 'menshealth']","[('circunsición', 'con'), ('con', 'grapadora'), ('grapadora', 'vs'), ('vs', 'con'), ('con', 'láser'), ('láser', 'cómo'), ('cómo', 'es'), ('es', 'cada'), ('cada', 'una'), ('una', 'rs'), ('rs', 'ce'), ('ce', '9112185'), ('9112185', 'une'), ('une', 'cp'), ('cp', '12889324'), ('12889324', 'uanl'), ('uanl', 'cofepris'), ('cofepris', '2319032002a00047'), ('2319032002a00047', 'httpurologocarlosguerracom'), ('httpurologocarlosguerracom', 'menshealth')]",circunsición con grapadora vs con láser cómo ser cada uno rs ce 9112185 unir cp 12889324 uanl cofepris 2319032002a00047 httpurologocarlosguerracom menshealth,0.2858374598939068
72,cuidado  no es recomendable extraer premolares para la ortodoncia   maxilofacial,"['cuidado', 'recomendable', 'extraer', 'premolares', 'ortodoncia', 'maxilofacial']","['cuidado', 'recomendable', 'extraer', 'premolar', 'ortodoncia', 'maxilofacial']","[('cuidado', ' '), (' ', 'no'), ('no', 'es'), ('es', 'recomendable'), ('recomendable', 'extraer'), ('extraer', 'premolares'), ('premolares', 'para'), ('para', 'la'), ('la', 'ortodoncia'), ('ortodoncia', '  '), ('  ', 'maxilofacial')]",cuidado   no ser recomendable extraer premolar para el ortodoncia    maxilofacial,0.1606629558543377
73,lipo hd drsiluetaperfect,"['lipo', 'hd', 'drsiluetaperfect']","['lipo', 'hd', 'drsiluetaperfect']","[('lipo', 'hd'), ('hd', 'drsiluetaperfect')]",lipo hd drsiluetaperfect,0.49789225920557484
74,respuesta a __tussibaby,['respuesta'],"['respuesta', 'tussibaby']","[('respuesta', 'a'), ('a', '_'), ('_', '_'), ('_', 'tussibaby')]",respuesta a _ _ tussibaby,0.09706990457057893
75,viendo la cotorrisa,"['viendo', 'cotorrisa']","['ver', 'cotorrisa']","[('viendo', 'la'), ('la', 'cotorrisa')]",ver el cotorrisa,0.28684659386477
76,dr carlos jaramillo cancer,"['carlos', 'jaramillo', 'cancer']","['dr', 'carlos', 'jaramillo', 'cancer']","[('dr', 'carlos'), ('carlos', 'jaramillo'), ('jaramillo', 'cancer')]",dr carlos jaramillo cancer,0.49789225920557484
78,mitos y realidades de la medicina antienvejecimiento parte 1 antiaging,"['mitos', 'realidades', 'medicina', 'antienvejecimiento', 'parte', 'antiaging']","['mito', 'realidad', 'medicina', 'antienvejecimiento', 'antiaging']","[('mitos', 'y'), ('y', 'realidades'), ('realidades', 'de'), ('de', 'la'), ('la', 'medicina'), ('medicina', 'antienvejecimiento'), ('antienvejecimiento', 'parte'), ('parte', '1'), ('1', 'antiaging')]",mito y realidad de el medicina antienvejecimiento parte 1 antiaging,0.4810837636405833
82, sacar las muelas del juicio no debería tardar más de 5min cada una extracciondemuelas,"['sacar', 'muelas', 'juicio', 'debería', 'tardar', 'cada', 'extracciondemuelas']","['sacar', 'muela', 'juicio', 'deber', 'tardar', 'extracciondemuela']","[(' ', 'sacar'), ('sacar', 'las'), ('las', 'muelas'), ('muelas', 'del'), ('del', 'juicio'), ('juicio', 'no'), ('no', 'debería'), ('debería', 'tardar'), ('tardar', 'más'), ('más', 'de'), ('de', '5min'), ('5min', 'cada'), ('cada', 'una'), ('una', 'extracciondemuelas')]",  sacar el muela del juicio no deber tardar más de 5min cada uno extracciondemuela,0.010924055558838186
84, desde luego si a uds se sienten más  seguras permaneciendo en casa   háganlo así como usar seguros de metal  y listones  rojos   sin embargo científicamente no está comprobado que altere el desarrollo del embarazo   respetamos las creencias de cada persona así que toma la decisión que te parezca mejor y te dé tranquilidad  gracias por estar al pendiente de las publicaciones eclipse2023,"['luego', 'uds', 'sienten', 'seguras', 'permaneciendo', 'casa', 'háganlo', 'usar', 'seguros', 'metal', 'listones', 'rojos', 'embargo', 'científicamente', 'comprobado', 'altere', 'desarrollo', 'embarazo', 'respetamos', 'creencias', 'cada', 'persona', 'toma', 'decisión', 'parezca', 'mejor', 'dé', 'tranquilidad', 'gracias', 'pendiente', 'publicaciones']","['uds', 'sentir', 'seguro', 'permanecer', 'casa', 'háganlo', 'seguro', 'metal', 'listón', 'rojo', 'científicamente', 'comprobado', 'alterar', 'desarrollo', 'embarazo', 'respetar', 'creencia', 'persona', 'tomar', 'decisión', 'parecer', 'dar', 'tranquilidad', 'gracia', 'pendiente', 'publicación']","[(' ', 'desde'), ('desde', 'luego'), ('luego', 'si'), ('si', 'a'), ('a', 'uds'), ('uds', 'se'), ('se', 'sienten'), ('sienten', 'más'), ('más', ' '), (' ', 'seguras'), ('seguras', 'permaneciendo'), ('permaneciendo', 'en'), ('en', 'casa'), ('casa', '  '), ('  ', 'háganlo'), ('háganlo', 'así'), ('así', 'como'), ('como', 'usar'), ('usar', 'seguros'), ('seguros', 'de'), ('de', 'metal'), ('metal', ' '), (' ', 'y'), ('y', 'listones'), ('listones', ' '), (' ', 'rojos'), ('rojos', '  '), ('  ', 'sin'), ('sin', 'embargo'), ('embargo', 'científicamente'), ('científicamente', 'no'), ('no', 'está'), ('está', 'comprobado'), ('comprobado', 'que'), ('que', 'altere'), ('altere', 'el'), ('el', 'desarrollo'), ('desarrollo', 'del'), ('del', 'embarazo'), ('embarazo', '  '), ('  ', 'respetamos'), ('respetamos', 'las'), ('las', 'creencias'), ('creencias', 'de'), ('de', 'cada'), ('cada', 'persona'), ('persona', 'así'), ('así', 'que'), ('que', 'toma'), ('toma', 'la'), ('la', 'decisión'), ('decisión', 'que'), ('que', 'te'), ('te', 'parezca'), ('parezca', 'mejor'), ('mejor', 'y'), ('y', 'te'), ('te', 'dé'), ('dé', 'tranquilidad'), ('tranquilidad', ' '), (' ', 'gracias'), ('gracias', 'por'), ('por', 'estar'), ('estar', 'al'), ('al', 'pendiente'), ('pendiente', 'de'), ('de', 'las'), ('las', 'publicaciones'), ('publicaciones', 'eclipse2023')]",  desde luego si a uds él sentir más   seguro permanecer en casa    háganlo así como usar seguro de metal   y listón   rojo    sin embargo científicamente no estar comprobado que alterar el desarrollo del embarazo    respetar el creencia de cada persona así que tomar el decisión que tú parecer mejor y tú dar tranquilidad   gracia por estar al pendiente de el publicación eclipse2023,1.8128974218604195e-05
87,si te volvieron a aparecer verrugas por vph  este video es para ti  urologo,"['volvieron', 'aparecer', 'verrugas', 'vph', 'video', 'urologo']","['volver', 'aparecer', 'verruga', 'vph', 'video', 'urologo']","[('si', 'te'), ('te', 'volvieron'), ('volvieron', 'a'), ('a', 'aparecer'), ('aparecer', 'verrugas'), ('verrugas', 'por'), ('por', 'vph'), ('vph', ' '), (' ', 'este'), ('este', 'video'), ('video', 'es'), ('es', 'para'), ('para', 'ti'), ('ti', ' '), (' ', 'urologo')]",si tú volver a aparecer verruga por vph   este video ser para tú   urologo,0.023522432110457465
88,estridor respiratorio en un bebé como se escucha laringomalacia capcut,"['estridor', 'respiratorio', 'bebé', 'escucha', 'laringomalacia', 'capcut']","['estridor', 'respiratorio', 'bebé', 'escuchar', 'laringomalacia', 'capcut']","[('estridor', 'respiratorio'), ('respiratorio', 'en'), ('en', 'un'), ('un', 'bebé'), ('bebé', 'como'), ('como', 'se'), ('se', 'escucha'), ('escucha', 'laringomalacia'), ('laringomalacia', 'capcut')]",estridor respiratorio en uno bebé como él escuchar laringomalacia capcut,0.05021462174973114
