,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
11,revisa la cuenta de,"['revisa', 'la', 'cuenta', 'de']","[('revisa', 'la'), ('la', 'cuenta'), ('cuenta', 'de')]","[('revisa', 'la', 'cuenta'), ('la', 'cuenta', 'de')]",revisar el cuenta de,['revisar'],0.0014302221046691578
12,2,['2'],[],[],2,[],0.49789225920557484
13,ni honesto ni íntegro pero gracias por participar doc,"['ni', 'honesto', 'ni', 'íntegro', 'pero', 'gracias', 'por', 'participar', 'doc']","[('ni', 'honesto'), ('honesto', 'ni'), ('ni', 'íntegro'), ('íntegro', 'pero'), ('pero', 'gracias'), ('gracias', 'por'), ('por', 'participar'), ('participar', 'doc')]","[('ni', 'honesto', 'ni'), ('honesto', 'ni', 'íntegro'), ('ni', 'íntegro', 'pero'), ('íntegro', 'pero', 'gracias'), ('pero', 'gracias', 'por'), ('gracias', 'por', 'participar'), ('por', 'participar', 'doc')]",ni honesto ni íntegro pero gracia por participar doc,"['honesto', 'íntegro', 'gracia', 'participar', 'doc']",0.0008592203626308764
14,para ganarse el respeto y la confianza de las personas hay que trabajar con honestidad e integridad agradezco profundamente a todos los que me acompañan en esta ardua labor les deseo un excelente inicio de semana a todas y todos,"['para', 'ganarse', 'el', 'respeto', 'y', 'la', 'confianza', 'de', 'las', 'personas', 'hay', 'que', 'trabajar', 'con', 'honestidad', 'e', 'integridad', 'agradezco', 'profundamente', 'a', 'todos', 'los', 'que', 'me', 'acompañan', 'en', 'esta', 'ardua', 'labor', 'les', 'deseo', 'un', 'excelente', 'inicio', 'de', 'semana', 'a', 'todas', 'y', 'todos']","[('para', 'ganarse'), ('ganarse', 'el'), ('el', 'respeto'), ('respeto', 'y'), ('y', 'la'), ('la', 'confianza'), ('confianza', 'de'), ('de', 'las'), ('las', 'personas'), ('personas', 'hay'), ('hay', 'que'), ('que', 'trabajar'), ('trabajar', 'con'), ('con', 'honestidad'), ('honestidad', 'e'), ('e', 'integridad'), ('integridad', 'agradezco'), ('agradezco', 'profundamente'), ('profundamente', 'a'), ('a', 'todos'), ('todos', 'los'), ('los', 'que'), ('que', 'me'), ('me', 'acompañan'), ('acompañan', 'en'), ('en', 'esta'), ('esta', 'ardua'), ('ardua', 'labor'), ('labor', 'les'), ('les', 'deseo'), ('deseo', 'un'), ('un', 'excelente'), ('excelente', 'inicio'), ('inicio', 'de'), ('de', 'semana'), ('semana', 'a'), ('a', 'todas'), ('todas', 'y'), ('y', 'todos')]","[('para', 'ganarse', 'el'), ('ganarse', 'el', 'respeto'), ('el', 'respeto', 'y'), ('respeto', 'y', 'la'), ('y', 'la', 'confianza'), ('la', 'confianza', 'de'), ('confianza', 'de', 'las'), ('de', 'las', 'personas'), ('las', 'personas', 'hay'), ('personas', 'hay', 'que'), ('hay', 'que', 'trabajar'), ('que', 'trabajar', 'con'), ('trabajar', 'con', 'honestidad'), ('con', 'honestidad', 'e'), ('honestidad', 'e', 'integridad'), ('e', 'integridad', 'agradezco'), ('integridad', 'agradezco', 'profundamente'), ('agradezco', 'profundamente', 'a'), ('profundamente', 'a', 'todos'), ('a', 'todos', 'los'), ('todos', 'los', 'que'), ('los', 'que', 'me'), ('que', 'me', 'acompañan'), ('me', 'acompañan', 'en'), ('acompañan', 'en', 'esta'), ('en', 'esta', 'ardua'), ('esta', 'ardua', 'labor'), ('ardua', 'labor', 'les'), ('labor', 'les', 'deseo'), ('les', 'deseo', 'un'), ('deseo', 'un', 'excelente'), ('un', 'excelente', 'inicio'), ('excelente', 'inicio', 'de'), ('inicio', 'de', 'semana'), ('de', 'semana', 'a'), ('semana', 'a', 'todas'), ('a', 'todas', 'y'), ('todas', 'y', 'todos')]",para ganar él el respeto y el confianza de el persona haber que trabajar con honestidad e integridad agradecer profundamente a todo el que yo acompañar en este ardua labor él desear uno excelente inicio de semana a todo y todo,"['ganar', 'respeto', 'confianza', 'persona', 'trabajar', 'honestidad', 'integridad', 'agradecer', 'profundamente', 'acompañar', 'ardua', 'labor', 'desear', 'excelente', 'inicio', 'semana']",0.02139741020808396
15,para ganarse el respeto y la confianza de las personas hay que trabajar con honestidad e integridad agradezco profundamente a todos los que me acompañan en esta ardua labor les deseo un excelente inicio de semana a todas y todos,"['para', 'ganarse', 'el', 'respeto', 'y', 'la', 'confianza', 'de', 'las', 'personas', 'hay', 'que', 'trabajar', 'con', 'honestidad', 'e', 'integridad', 'agradezco', 'profundamente', 'a', 'todos', 'los', 'que', 'me', 'acompañan', 'en', 'esta', 'ardua', 'labor', 'les', 'deseo', 'un', 'excelente', 'inicio', 'de', 'semana', 'a', 'todas', 'y', 'todos']","[('para', 'ganarse'), ('ganarse', 'el'), ('el', 'respeto'), ('respeto', 'y'), ('y', 'la'), ('la', 'confianza'), ('confianza', 'de'), ('de', 'las'), ('las', 'personas'), ('personas', 'hay'), ('hay', 'que'), ('que', 'trabajar'), ('trabajar', 'con'), ('con', 'honestidad'), ('honestidad', 'e'), ('e', 'integridad'), ('integridad', 'agradezco'), ('agradezco', 'profundamente'), ('profundamente', 'a'), ('a', 'todos'), ('todos', 'los'), ('los', 'que'), ('que', 'me'), ('me', 'acompañan'), ('acompañan', 'en'), ('en', 'esta'), ('esta', 'ardua'), ('ardua', 'labor'), ('labor', 'les'), ('les', 'deseo'), ('deseo', 'un'), ('un', 'excelente'), ('excelente', 'inicio'), ('inicio', 'de'), ('de', 'semana'), ('semana', 'a'), ('a', 'todas'), ('todas', 'y'), ('y', 'todos')]","[('para', 'ganarse', 'el'), ('ganarse', 'el', 'respeto'), ('el', 'respeto', 'y'), ('respeto', 'y', 'la'), ('y', 'la', 'confianza'), ('la', 'confianza', 'de'), ('confianza', 'de', 'las'), ('de', 'las', 'personas'), ('las', 'personas', 'hay'), ('personas', 'hay', 'que'), ('hay', 'que', 'trabajar'), ('que', 'trabajar', 'con'), ('trabajar', 'con', 'honestidad'), ('con', 'honestidad', 'e'), ('honestidad', 'e', 'integridad'), ('e', 'integridad', 'agradezco'), ('integridad', 'agradezco', 'profundamente'), ('agradezco', 'profundamente', 'a'), ('profundamente', 'a', 'todos'), ('a', 'todos', 'los'), ('todos', 'los', 'que'), ('los', 'que', 'me'), ('que', 'me', 'acompañan'), ('me', 'acompañan', 'en'), ('acompañan', 'en', 'esta'), ('en', 'esta', 'ardua'), ('esta', 'ardua', 'labor'), ('ardua', 'labor', 'les'), ('labor', 'les', 'deseo'), ('les', 'deseo', 'un'), ('deseo', 'un', 'excelente'), ('un', 'excelente', 'inicio'), ('excelente', 'inicio', 'de'), ('inicio', 'de', 'semana'), ('de', 'semana', 'a'), ('semana', 'a', 'todas'), ('a', 'todas', 'y'), ('todas', 'y', 'todos')]",para ganar él el respeto y el confianza de el persona haber que trabajar con honestidad e integridad agradecer profundamente a todo el que yo acompañar en este ardua labor él desear uno excelente inicio de semana a todo y todo,"['ganar', 'respeto', 'confianza', 'persona', 'trabajar', 'honestidad', 'integridad', 'agradecer', 'profundamente', 'acompañar', 'ardua', 'labor', 'desear', 'excelente', 'inicio', 'semana']",0.02139741020808396
16,el,['el'],[],[],el,[],0.5136446707795853
17,expliquen porque debilitan el poder judicial mientras empoderan más y más al ejército mexicano,"['expliquen', 'porque', 'debilitan', 'el', 'poder', 'judicial', 'mientras', 'empoderan', 'más', 'y', 'más', 'al', 'ejército', 'mexicano']","[('expliquen', 'porque'), ('porque', 'debilitan'), ('debilitan', 'el'), ('el', 'poder'), ('poder', 'judicial'), ('judicial', 'mientras'), ('mientras', 'empoderan'), ('empoderan', 'más'), ('más', 'y'), ('y', 'más'), ('más', 'al'), ('al', 'ejército'), ('ejército', 'mexicano')]","[('expliquen', 'porque', 'debilitan'), ('porque', 'debilitan', 'el'), ('debilitan', 'el', 'poder'), ('el', 'poder', 'judicial'), ('poder', 'judicial', 'mientras'), ('judicial', 'mientras', 'empoderan'), ('mientras', 'empoderan', 'más'), ('empoderan', 'más', 'y'), ('más', 'y', 'más'), ('y', 'más', 'al'), ('más', 'al', 'ejército'), ('al', 'ejército', 'mexicano')]",explicar porque debilitar el poder judicial mientras empoderan más y más al ejército mexicano,"['explicar', 'debilitar', 'judicial', 'empoderan', 'ejército', 'mexicano']",0.020314683318452407
18,dr lomelí,"['dr', 'lomelí']","[('dr', 'lomelí')]",[],dr lomelí,"['dr', 'lomelí']",0.49789225920557484
19,en jalisco d manera arbitraria y con el objetivo d recaudar dinero a como d lugar enrique alfaro y sus amigos crearon el negocio d la verificación vehicular los precandidatos de morena como,"['en', 'jalisco', 'd', 'manera', 'arbitraria', 'y', 'con', 'el', 'objetivo', 'd', 'recaudar', 'dinero', 'a', 'como', 'd', 'lugar', 'enrique', 'alfaro', 'y', 'sus', 'amigos', 'crearon', 'el', 'negocio', 'd', 'la', 'verificación', 'vehicular', 'los', 'precandidatos', 'de', 'morena', 'como']","[('en', 'jalisco'), ('jalisco', 'd'), ('d', 'manera'), ('manera', 'arbitraria'), ('arbitraria', 'y'), ('y', 'con'), ('con', 'el'), ('el', 'objetivo'), ('objetivo', 'd'), ('d', 'recaudar'), ('recaudar', 'dinero'), ('dinero', 'a'), ('a', 'como'), ('como', 'd'), ('d', 'lugar'), ('lugar', 'enrique'), ('enrique', 'alfaro'), ('alfaro', 'y'), ('y', 'sus'), ('sus', 'amigos'), ('amigos', 'crearon'), ('crearon', 'el'), ('el', 'negocio'), ('negocio', 'd'), ('d', 'la'), ('la', 'verificación'), ('verificación', 'vehicular'), ('vehicular', 'los'), ('los', 'precandidatos'), ('precandidatos', 'de'), ('de', 'morena'), ('morena', 'como')]","[('en', 'jalisco', 'd'), ('jalisco', 'd', 'manera'), ('d', 'manera', 'arbitraria'), ('manera', 'arbitraria', 'y'), ('arbitraria', 'y', 'con'), ('y', 'con', 'el'), ('con', 'el', 'objetivo'), ('el', 'objetivo', 'd'), ('objetivo', 'd', 'recaudar'), ('d', 'recaudar', 'dinero'), ('recaudar', 'dinero', 'a'), ('dinero', 'a', 'como'), ('a', 'como', 'd'), ('como', 'd', 'lugar'), ('d', 'lugar', 'enrique'), ('lugar', 'enrique', 'alfaro'), ('enrique', 'alfaro', 'y'), ('alfaro', 'y', 'sus'), ('y', 'sus', 'amigos'), ('sus', 'amigos', 'crearon'), ('amigos', 'crearon', 'el'), ('crearon', 'el', 'negocio'), ('el', 'negocio', 'd'), ('negocio', 'd', 'la'), ('d', 'la', 'verificación'), ('la', 'verificación', 'vehicular'), ('verificación', 'vehicular', 'los'), ('vehicular', 'los', 'precandidatos'), ('los', 'precandidatos', 'de'), ('precandidatos', 'de', 'morena'), ('de', 'morena', 'como')]",en jalisco d manera arbitrario y con el objetivo d recaudar dinero a como d lugar enrique alfaro y su amigo crear el negocio d el verificación vehicular el precandidato de morena como,"['jalisco', 'd', 'arbitrario', 'objetivo', 'd', 'recaudar', 'dinero', 'd', 'lugar', 'enrique', 'alfaro', 'amigo', 'crear', 'negocio', 'd', 'verificación', 'vehicular', 'precandidato', 'morena']",0.0006357983442289317
20,firmes con el amigo doctor,"['firmes', 'con', 'el', 'amigo', 'doctor']","[('firmes', 'con'), ('con', 'el'), ('el', 'amigo'), ('amigo', 'doctor')]","[('firmes', 'con', 'el'), ('con', 'el', 'amigo'), ('el', 'amigo', 'doctor')]",firme con el amigo doctor,"['firme', 'amigo', 'doctor']",0.22200518820926082
21,paleros todos van por la lana,"['paleros', 'todos', 'van', 'por', 'la', 'lana']","[('paleros', 'todos'), ('todos', 'van'), ('van', 'por'), ('por', 'la'), ('la', 'lana')]","[('paleros', 'todos', 'van'), ('todos', 'van', 'por'), ('van', 'por', 'la'), ('por', 'la', 'lana')]",palero todo ir por el lana,"['palero', 'lana']",0.12411607182290725
22,dr carlos lomeli,"['dr', 'carlos', 'lomeli']","[('dr', 'carlos'), ('carlos', 'lomeli')]","[('dr', 'carlos', 'lomeli')]",dr carlos lomeli,"['dr', 'carlos', 'lomeli']",0.49789225920557484
23,2024,['2024'],[],[],2024,[],0.49789225920557484
24,en,['en'],[],[],en,[],0.48728019602140255
25,jajajajaja pasearte para no trabajar no es conocer jalisco huevon jajajajaja,"['jajajajaja', 'pasearte', 'para', 'no', 'trabajar', 'no', 'es', 'conocer', 'jalisco', 'huevon', 'jajajajaja']","[('jajajajaja', 'pasearte'), ('pasearte', 'para'), ('para', 'no'), ('no', 'trabajar'), ('trabajar', 'no'), ('no', 'es'), ('es', 'conocer'), ('conocer', 'jalisco'), ('jalisco', 'huevon'), ('huevon', 'jajajajaja')]","[('jajajajaja', 'pasearte', 'para'), ('pasearte', 'para', 'no'), ('para', 'no', 'trabajar'), ('no', 'trabajar', 'no'), ('trabajar', 'no', 'es'), ('no', 'es', 'conocer'), ('es', 'conocer', 'jalisco'), ('conocer', 'jalisco', 'huevon'), ('jalisco', 'huevon', 'jajajajaja')]",jajajajajar pasearte para no trabajar no ser conocer jalisco huevon jajajajajar,"['jajajajajar', 'pasearte', 'trabajar', 'jalisco', 'huevon', 'jajajajajar']",0.00390819401835075
26,1,['1'],[],[],1,[],0.49789225920557484
27,muchas felicidades y mucha suerte juncal espero que ganes para que le tapes la boca a todos los bots que te atacan,"['muchas', 'felicidades', 'y', 'mucha', 'suerte', 'juncal', 'espero', 'que', 'ganes', 'para', 'que', 'le', 'tapes', 'la', 'boca', 'a', 'todos', 'los', 'bots', 'que', 'te', 'atacan']","[('muchas', 'felicidades'), ('felicidades', 'y'), ('y', 'mucha'), ('mucha', 'suerte'), ('suerte', 'juncal'), ('juncal', 'espero'), ('espero', 'que'), ('que', 'ganes'), ('ganes', 'para'), ('para', 'que'), ('que', 'le'), ('le', 'tapes'), ('tapes', 'la'), ('la', 'boca'), ('boca', 'a'), ('a', 'todos'), ('todos', 'los'), ('los', 'bots'), ('bots', 'que'), ('que', 'te'), ('te', 'atacan')]","[('muchas', 'felicidades', 'y'), ('felicidades', 'y', 'mucha'), ('y', 'mucha', 'suerte'), ('mucha', 'suerte', 'juncal'), ('suerte', 'juncal', 'espero'), ('juncal', 'espero', 'que'), ('espero', 'que', 'ganes'), ('que', 'ganes', 'para'), ('ganes', 'para', 'que'), ('para', 'que', 'le'), ('que', 'le', 'tapes'), ('le', 'tapes', 'la'), ('tapes', 'la', 'boca'), ('la', 'boca', 'a'), ('boca', 'a', 'todos'), ('a', 'todos', 'los'), ('todos', 'los', 'bots'), ('los', 'bots', 'que'), ('bots', 'que', 'te'), ('que', 'te', 'atacan')]",mucho felicidad y mucho suerte juncal esperar que gán para que él tapser el boca a todo el bot que tú atacar,"['felicidad', 'suerte', 'juncal', 'esperar', 'gán', 'tapser', 'boca', 'bot', 'atacar']",4.209279984459031e-05
28,alguien se queja de los sobreprecios en adjudicaciones directas,"['alguien', 'se', 'queja', 'de', 'los', 'sobreprecios', 'en', 'adjudicaciones', 'directas']","[('alguien', 'se'), ('se', 'queja'), ('queja', 'de'), ('de', 'los'), ('los', 'sobreprecios'), ('sobreprecios', 'en'), ('en', 'adjudicaciones'), ('adjudicaciones', 'directas')]","[('alguien', 'se', 'queja'), ('se', 'queja', 'de'), ('queja', 'de', 'los'), ('de', 'los', 'sobreprecios'), ('los', 'sobreprecios', 'en'), ('sobreprecios', 'en', 'adjudicaciones'), ('en', 'adjudicaciones', 'directas')]",alguien él quejar de el sobreprecio en adjudicación directo,"['alguien', 'quejar', 'sobreprecio', 'adjudicación', 'directo']",0.021881651332178086
29,,[],[],[],,[],0.49789225920557484
30,este fin de semana,"['este', 'fin', 'de', 'semana']","[('este', 'fin'), ('fin', 'de'), ('de', 'semana')]","[('este', 'fin', 'de'), ('fin', 'de', 'semana')]",este fin de semana,['semana'],0.9581136821316085
31,clara cárdenas,"['clara', 'cárdenas']","[('clara', 'cárdenas')]",[],claro cárdena,['cárdena'],0.49789225920557484
32,exacto todos los candidatos agarraditos del kks solos son escoria bueno con el kks tambien son escoria pero escoria ignorada,"['exacto', 'todos', 'los', 'candidatos', 'agarraditos', 'del', 'kks', 'solos', 'son', 'escoria', 'bueno', 'con', 'el', 'kks', 'tambien', 'son', 'escoria', 'pero', 'escoria', 'ignorada']","[('exacto', 'todos'), ('todos', 'los'), ('los', 'candidatos'), ('candidatos', 'agarraditos'), ('agarraditos', 'del'), ('del', 'kks'), ('kks', 'solos'), ('solos', 'son'), ('son', 'escoria'), ('escoria', 'bueno'), ('bueno', 'con'), ('con', 'el'), ('el', 'kks'), ('kks', 'tambien'), ('tambien', 'son'), ('son', 'escoria'), ('escoria', 'pero'), ('pero', 'escoria'), ('escoria', 'ignorada')]","[('exacto', 'todos', 'los'), ('todos', 'los', 'candidatos'), ('los', 'candidatos', 'agarraditos'), ('candidatos', 'agarraditos', 'del'), ('agarraditos', 'del', 'kks'), ('del', 'kks', 'solos'), ('kks', 'solos', 'son'), ('solos', 'son', 'escoria'), ('son', 'escoria', 'bueno'), ('escoria', 'bueno', 'con'), ('bueno', 'con', 'el'), ('con', 'el', 'kks'), ('el', 'kks', 'tambien'), ('kks', 'tambien', 'son'), ('tambien', 'son', 'escoria'), ('son', 'escoria', 'pero'), ('escoria', 'pero', 'escoria'), ('pero', 'escoria', 'ignorada')]",exacto todo el candidato agarradito del kks solo ser escorio bueno con el kks tambien ser escorio pero escorio ignorado,"['exacto', 'candidato', 'agarradito', 'kks', 'escorio', 'kks', 'escorio', 'escorio', 'ignorado']",0.9464546052232379
33,carlos lomelí soldado de la cuarta transformación en jalisco,"['carlos', 'lomelí', 'soldado', 'de', 'la', 'cuarta', 'transformación', 'en', 'jalisco']","[('carlos', 'lomelí'), ('lomelí', 'soldado'), ('soldado', 'de'), ('de', 'la'), ('la', 'cuarta'), ('cuarta', 'transformación'), ('transformación', 'en'), ('en', 'jalisco')]","[('carlos', 'lomelí', 'soldado'), ('lomelí', 'soldado', 'de'), ('soldado', 'de', 'la'), ('de', 'la', 'cuarta'), ('la', 'cuarta', 'transformación'), ('cuarta', 'transformación', 'en'), ('transformación', 'en', 'jalisco')]",carlos lomelí soldado de el cuarto transformación en jalisco,"['carlos', 'lomelí', 'soldado', 'cuarto', 'transformación', 'jalisco']",0.487980366762386
34,un día si y otro también diario en jalisco levantones y ejecuciones,"['un', 'día', 'si', 'y', 'otro', 'también', 'diario', 'en', 'jalisco', 'levantones', 'y', 'ejecuciones']","[('un', 'día'), ('día', 'si'), ('si', 'y'), ('y', 'otro'), ('otro', 'también'), ('también', 'diario'), ('diario', 'en'), ('en', 'jalisco'), ('jalisco', 'levantones'), ('levantones', 'y'), ('y', 'ejecuciones')]","[('un', 'día', 'si'), ('día', 'si', 'y'), ('si', 'y', 'otro'), ('y', 'otro', 'también'), ('otro', 'también', 'diario'), ('también', 'diario', 'en'), ('diario', 'en', 'jalisco'), ('en', 'jalisco', 'levantones'), ('jalisco', 'levantones', 'y'), ('levantones', 'y', 'ejecuciones')]",uno día si y otro también diario en jalisco levantones y ejecución,"['diario', 'jalisco', 'levantones', 'ejecución']",0.13656567080644788
35,no pierda su tiempo doctor va a volver a perder,"['no', 'pierda', 'su', 'tiempo', 'doctor', 'va', 'a', 'volver', 'a', 'perder']","[('no', 'pierda'), ('pierda', 'su'), ('su', 'tiempo'), ('tiempo', 'doctor'), ('doctor', 'va'), ('va', 'a'), ('a', 'volver'), ('volver', 'a'), ('a', 'perder')]","[('no', 'pierda', 'su'), ('pierda', 'su', 'tiempo'), ('su', 'tiempo', 'doctor'), ('tiempo', 'doctor', 'va'), ('doctor', 'va', 'a'), ('va', 'a', 'volver'), ('a', 'volver', 'a'), ('volver', 'a', 'perder')]",no perder su tiempo doctor ir a volver a perder,"['perder', 'tiempo', 'doctor', 'volver', 'perder']",0.017518000667779095
36,el,['el'],[],[],el,[],0.5136446707795853
