,usuario,texto,texto_limpio,tokens
19,luigy396,"ESTOY CON LA 4T,PERO ESTA SEÑORA NO DEBERIA SER CANDIDATA,QUE HA HECHO POR CHIAPAS?? NADA!! SOLO CALENTAR LA SILLA Y POSAR PARA LAS FOTOS...",estoy con la tpero esta seora no deberia ser candidataque ha hecho por chiapas nada solo calentar la silla y posar para las fotos,"['estoy', 'con', 'la', 'tpero', 'esta', 'seora', 'no', 'deberia', 'ser', 'candidataque', 'ha', 'hecho', 'por', 'chiapas', 'nada', 'solo', 'calentar', 'la', 'silla', 'y', 'posar', 'para', 'las', 'fotos']"
20,moises_gutierrez _Piñeiro,😡,,[]
21,moises_gutierrez _Piñeiro,"en Chiapas ya no más ratas como sasil y Eduuardo Ramírez
Chiapas un desmadre por culpa de estos políticos rata","en chiapas ya no ms ratas como sasil y eduuardo ramrez
chiapas un desmadre por culpa de estos polticos rata","['en', 'chiapas', 'ya', 'no', 'ms', 'ratas', 'como', 'sasil', 'y', 'eduuardo', 'ramrez', 'chiapas', 'un', 'desmadre', 'por', 'culpa', 'de', 'estos', 'polticos', 'rata']"
22,lalala,queremos un México libre no con lo mismo cada día vamos peor Chiapas está peor y que ha hecho está fulana por chiapas,queremos un mxico libre no con lo mismo cada da vamos peor chiapas est peor y que ha hecho est fulana por chiapas,"['queremos', 'un', 'mxico', 'libre', 'no', 'con', 'lo', 'mismo', 'cada', 'da', 'vamos', 'peor', 'chiapas', 'est', 'peor', 'y', 'que', 'ha', 'hecho', 'est', 'fulana', 'por', 'chiapas']"
23,lalala,hay ya la regastes otra copia,hay ya la regastes otra copia,"['hay', 'ya', 'la', 'regastes', 'otra', 'copia']"
24,patolink....,😏,,[]
25,ricardocarrasco734,"Lamentable que siendo una persona tan joven, tenga tan malos comentarios en su trabajo.",lamentable que siendo una persona tan joven tenga tan malos comentarios en su trabajo,"['lamentable', 'que', 'siendo', 'una', 'persona', 'tan', 'joven', 'tenga', 'tan', 'malos', 'comentarios', 'en', 'su', 'trabajo']"
26,pepereyes22,están viendo como arde la república por la delincuencia y la política barata del viejito y quieren seguir con la misma fregadera,estn viendo como arde la repblica por la delincuencia y la poltica barata del viejito y quieren seguir con la misma fregadera,"['estn', 'viendo', 'como', 'arde', 'la', 'repblica', 'por', 'la', 'delincuencia', 'y', 'la', 'poltica', 'barata', 'del', 'viejito', 'y', 'quieren', 'seguir', 'con', 'la', 'misma', 'fregadera']"
27,"rovs,saivan",🙄 llegó a Escuintla y ni siquiera saludo cuando salio de su reunión 🙄 no te cuelgues. solo de ella hablas 😂, lleg a escuintla y ni siquiera saludo cuando salio de su reunin  no te cuelgues solo de ella hablas ,"['lleg', 'a', 'escuintla', 'y', 'ni', 'siquiera', 'saludo', 'cuando', 'salio', 'de', 'su', 'reunin', 'no', 'te', 'cuelgues', 'solo', 'de', 'ella', 'hablas']"
28,victordiaz7000,Ipocrita traidora lambiscona,ipocrita traidora lambiscona,"['ipocrita', 'traidora', 'lambiscona']"
29,mariaantoniasanch316,Por medio de la religiónlogro colarse,por medio de la religinlogro colarse,"['por', 'medio', 'de', 'la', 'religinlogro', 'colarse']"
30,Nacho nache,Otra que se arrastra para parecer buwna gente,otra que se arrastra para parecer buwna gente,"['otra', 'que', 'se', 'arrastra', 'para', 'parecer', 'buwna', 'gente']"
31,Armando Zamora,con todo senadora total apoyo,con todo senadora total apoyo,"['con', 'todo', 'senadora', 'total', 'apoyo']"
32,Elena Coronel,felicidades senadora,felicidades senadora,"['felicidades', 'senadora']"
33,user8528671091048,sabe ud de la problemática que hay en frontera comalapa??? quiere ganarse un punto?? ayude a este municipio ya que nadie nos toma en cuenta!!,sabe ud de la problemtica que hay en frontera comalapa quiere ganarse un punto ayude a este municipio ya que nadie nos toma en cuenta,"['sabe', 'ud', 'de', 'la', 'problemtica', 'que', 'hay', 'en', 'frontera', 'comalapa', 'quiere', 'ganarse', 'un', 'punto', 'ayude', 'a', 'este', 'municipio', 'ya', 'que', 'nadie', 'nos', 'toma', 'en', 'cuenta']"
34,pepereyes22,"otra que quiere ser candidata y seguir fregando al estado, nada bueno ha hecho por el estado",otra que quiere ser candidata y seguir fregando al estado nada bueno ha hecho por el estado,"['otra', 'que', 'quiere', 'ser', 'candidata', 'y', 'seguir', 'fregando', 'al', 'estado', 'nada', 'bueno', 'ha', 'hecho', 'por', 'el', 'estado']"
35,zeppelin_uno,"otra rata!!!!!
cuantos millones te chingaste??","otra rata
cuantos millones te chingaste","['otra', 'rata', 'cuantos', 'millones', 'te', 'chingaste']"
36,Machin1240592,"siempre la misma propaganda y política de Chiapas y todo México.
Bueno es lo único que hay, penozamente.","siempre la misma propaganda y poltica de chiapas y todo mxico
bueno es lo nico que hay penozamente","['siempre', 'la', 'misma', 'propaganda', 'y', 'poltica', 'de', 'chiapas', 'y', 'todo', 'mxico', 'bueno', 'es', 'lo', 'nico', 'que', 'hay', 'penozamente']"
37,Ángel del Cielo,pura mentira esta señora ni en su casa lo conocían pura mentira se avergüenza de su origen,pura mentira esta seora ni en su casa lo conocan pura mentira se avergenza de su origen,"['pura', 'mentira', 'esta', 'seora', 'ni', 'en', 'su', 'casa', 'lo', 'conocan', 'pura', 'mentira', 'se', 'avergenza', 'de', 'su', 'origen']"
38,Armando Zamora,vamos con todo sasil,vamos con todo sasil,"['vamos', 'con', 'todo', 'sasil']"
39,lalala,para poder votar necesito saber que ha hecho que me convenza para votar por ella,para poder votar necesito saber que ha hecho que me convenza para votar por ella,"['para', 'poder', 'votar', 'necesito', 'saber', 'que', 'ha', 'hecho', 'que', 'me', 'convenza', 'para', 'votar', 'por', 'ella']"
40,lalala,si ahorita es humilde pero que alguien me diga que ha hecho por Chiapas desconozco que ha hecho,si ahorita es humilde pero que alguien me diga que ha hecho por chiapas desconozco que ha hecho,"['si', 'ahorita', 'es', 'humilde', 'pero', 'que', 'alguien', 'me', 'diga', 'que', 'ha', 'hecho', 'por', 'chiapas', 'desconozco', 'que', 'ha', 'hecho']"
41,victordiaz7000,Jajaja nobtiene verguenza el poder los ciega y traiciona una ratota,jajaja nobtiene verguenza el poder los ciega y traiciona una ratota,"['jajaja', 'nobtiene', 'verguenza', 'el', 'poder', 'los', 'ciega', 'y', 'traiciona', 'una', 'ratota']"
42,glezal,jejejejejee,jejejejejee,['jejejejejee']
43,Eduardo Grajales,Que humildad q la gente se da cuenta,que humildad q la gente se da cuenta,"['que', 'humildad', 'q', 'la', 'gente', 'se', 'da', 'cuenta']"
44,Dan.iel,ya regreso??,ya regreso,"['ya', 'regreso']"
45,sofia lunes,echale ganas sasil viva sasil,echale ganas sasil viva sasil,"['echale', 'ganas', 'sasil', 'viva', 'sasil']"
46,juancarloscast8122,RATA,rata,['rata']
49,rubinabla,ahorita hasta se pega con sus cabezas porque quiere votos despues si gana no las conoce ella es rica esto lo hace por conveniencia no creaan,ahorita hasta se pega con sus cabezas porque quiere votos despues si gana no las conoce ella es rica esto lo hace por conveniencia no creaan,"['ahorita', 'hasta', 'se', 'pega', 'con', 'sus', 'cabezas', 'porque', 'quiere', 'votos', 'despues', 'si', 'gana', 'no', 'las', 'conoce', 'ella', 'es', 'rica', 'esto', 'lo', 'hace', 'por', 'conveniencia', 'no', 'creaan']"
50,Nacho nache,No debería estar en la carcel por ratera,no debera estar en la carcel por ratera,"['no', 'debera', 'estar', 'en', 'la', 'carcel', 'por', 'ratera']"
51,user1154198750810,Siempre aquí en mi pueblo todos con sasil,siempre aqu en mi pueblo todos con sasil,"['siempre', 'aqu', 'en', 'mi', 'pueblo', 'todos', 'con', 'sasil']"
54,astrid09hassey9,"las q aun tienenlandicha de tenerlas abrazenkas y consientanlas no solo hoy siempre, los abuelos son los principales pilares de la familia 🥰🥰🥰",las q aun tienenlandicha de tenerlas abrazenkas y consientanlas no solo hoy siempre los abuelos son los principales pilares de la familia ,"['las', 'q', 'aun', 'tienenlandicha', 'de', 'tenerlas', 'abrazenkas', 'y', 'consientanlas', 'no', 'solo', 'hoy', 'siempre', 'los', 'abuelos', 'son', 'los', 'principales', 'pilares', 'de', 'la', 'familia']"
55,patolink....,Claudia si va,claudia si va,"['claudia', 'si', 'va']"
56,Kriss Valen,🥰🥰🥰🥰,,[]
57,Barba_Roja,En Villaflores no hizo nada más que robar,en villaflores no hizo nada ms que robar,"['en', 'villaflores', 'no', 'hizo', 'nada', 'ms', 'que', 'robar']"
58,pattymoreno791,es el cerrito de San Cristóbal 😁,es el cerrito de san cristbal ,"['es', 'el', 'cerrito', 'de', 'san', 'cristbal']"
59,giode leon,no es que sea machista simplemente no tiene la inteligencia y la estrategia que se requiere para ser gobernadora de chiapas un estado pobre y rico!,no es que sea machista simplemente no tiene la inteligencia y la estrategia que se requiere para ser gobernadora de chiapas un estado pobre y rico,"['no', 'es', 'que', 'sea', 'machista', 'simplemente', 'no', 'tiene', 'la', 'inteligencia', 'y', 'la', 'estrategia', 'que', 'se', 'requiere', 'para', 'ser', 'gobernadora', 'de', 'chiapas', 'un', 'estado', 'pobre', 'y', 'rico']"
60,giode leon,ella no puede ser gobernadora de chiapas quedaría peor que Manuel velazco vienen de la misma cuna si rutilio no hizo nada se imaginan ella!,ella no puede ser gobernadora de chiapas quedara peor que manuel velazco vienen de la misma cuna si rutilio no hizo nada se imaginan ella,"['ella', 'no', 'puede', 'ser', 'gobernadora', 'de', 'chiapas', 'quedara', 'peor', 'que', 'manuel', 'velazco', 'vienen', 'de', 'la', 'misma', 'cuna', 'si', 'rutilio', 'no', 'hizo', 'nada', 'se', 'imaginan', 'ella']"
61,FLP,Claudia espuria! No tienes legitimidad! Me das nauseas!,claudia espuria no tienes legitimidad me das nauseas,"['claudia', 'espuria', 'no', 'tienes', 'legitimidad', 'me', 'das', 'nauseas']"
62,Damián Ordóñez,🥰,,[]
63,Diego Moreno,Es tiempo de las mujeres!!,es tiempo de las mujeres,"['es', 'tiempo', 'de', 'las', 'mujeres']"
64,Aremi Rubi Arreola Zavaleta,#Estiempo de las mujeres bendiciones para ambas,estiempo de las mujeres bendiciones para ambas,"['estiempo', 'de', 'las', 'mujeres', 'bendiciones', 'para', 'ambas']"
65,elpendejomedicen,saludos desde tapachula bendiciones,saludos desde tapachula bendiciones,"['saludos', 'desde', 'tapachula', 'bendiciones']"
66,Alejandra Méndez1255,"No se hace ni la mitad con esas dos,",no se hace ni la mitad con esas dos,"['no', 'se', 'hace', 'ni', 'la', 'mitad', 'con', 'esas', 'dos']"
67,Ângel Lorenzana,😅,,[]
68,J D Cruz,Claudia Sheinbaum presidente,claudia sheinbaum presidente,"['claudia', 'sheinbaum', 'presidente']"
69,Sayuri Gómez,"Vamos con Sasil de León
Para Chiapas la mejor opción!!","vamos con sasil de len
para chiapas la mejor opcin","['vamos', 'con', 'sasil', 'de', 'len', 'para', 'chiapas', 'la', 'mejor', 'opcin']"
70,Gitana,#EsTiempoDeLasMujeres,estiempodelasmujeres,['estiempodelasmujeres']
71,Rodrigo Betancourt,👏👏👏,,[]
72,lizhasy,"Dos mujeres bellas e inteligentes ,",dos mujeres bellas e inteligentes ,"['dos', 'mujeres', 'bellas', 'e', 'inteligentes']"
73,Maria Soledad Solis Granados,nuestra proxima Presidebta de la Republica Mexicana y Gobernadora del estado de Chiapas 👏 👏 👏 👏 👏 👏 👏 👏,nuestra proxima presidebta de la republica mexicana y gobernadora del estado de chiapas        ,"['nuestra', 'proxima', 'presidebta', 'de', 'la', 'republica', 'mexicana', 'y', 'gobernadora', 'del', 'estado', 'de', 'chiapas']"
74,Exaljuan1,❤❤❤❤❤❤,,[]
75,Dannai D'amiano,👏👏,,[]
76,Laura De Leon Carden,👏👏👏 la mejor opción para Chiapas 👌, la mejor opcin para chiapas ,"['la', 'mejor', 'opcin', 'para', 'chiapas']"
77,Diego Moreno,👏,,[]
78,jazmin,Es tiempo de las mujeres #EsSasil,es tiempo de las mujeres essasil,"['es', 'tiempo', 'de', 'las', 'mujeres', 'essasil']"
79,Sayuri Gómez,"siiiiii!!!
aprobada senadora!!!!","siiiiii
aprobada senadora","['siiiiii', 'aprobada', 'senadora']"
80,Ender Fabian,Es tiempo de mujeres y en Chiapas #EsSasil 🙏,es tiempo de mujeres y en chiapas essasil ,"['es', 'tiempo', 'de', 'mujeres', 'y', 'en', 'chiapas', 'essasil']"
81,Nahiely Salinas Gonz,excelente senadora! 🤌🏻 y la 🧀 porte la próxima Gobernadora de chiapas!!!,excelente senadora  y la  porte la prxima gobernadora de chiapas,"['excelente', 'senadora', 'y', 'la', 'porte', 'la', 'prxima', 'gobernadora', 'de', 'chiapas']"
82,chai_mc,con todo Lic.👍,con todo lic,"['con', 'todo', 'lic']"
83,Desiveles,"Cómo les gusta engañar a la gente humilde, les hacen creer que son pueblo y cuando llegan al PODER se olvidan del pueblo",cmo les gusta engaar a la gente humilde les hacen creer que son pueblo y cuando llegan al poder se olvidan del pueblo,"['cmo', 'les', 'gusta', 'engaar', 'a', 'la', 'gente', 'humilde', 'les', 'hacen', 'creer', 'que', 'son', 'pueblo', 'y', 'cuando', 'llegan', 'al', 'poder', 'se', 'olvidan', 'del', 'pueblo']"
84,Máximo,👏🏾👏🏾,,[]
85,Juggernaut7,😂😂😂 el pri, el pri,"['el', 'pri']"
86,m,Estamos con usted senadora🤍,estamos con usted senadora,"['estamos', 'con', 'usted', 'senadora']"
87,Dannai D'amiano,Los jóvenes estamos con usted senadora ❤️,los jvenes estamos con usted senadora ,"['los', 'jvenes', 'estamos', 'con', 'usted', 'senadora']"
88,Key_C,"""Por llegar hasta donde nos proponemos""! 🫶 Bendiciones senadora! 👏",por llegar hasta donde nos proponemos  bendiciones senadora ,"['por', 'llegar', 'hasta', 'donde', 'nos', 'proponemos', 'bendiciones', 'senadora']"
89,HectorDioscorides,estoy contigo sadil pero no me gustan las hipocresías no hagas algo q nunca volverás hacer ....,estoy contigo sadil pero no me gustan las hipocresas no hagas algo q nunca volvers hacer ,"['estoy', 'contigo', 'sadil', 'pero', 'no', 'me', 'gustan', 'las', 'hipocresas', 'no', 'hagas', 'algo', 'q', 'nunca', 'volvers', 'hacer']"
90,Armando Zamora,sasil gobernadora,sasil gobernadora,"['sasil', 'gobernadora']"
91,Sayuri Gómez,estamos contigo Sasil de León!!,estamos contigo sasil de len,"['estamos', 'contigo', 'sasil', 'de', 'len']"
92,Sayuri Gómez,"Amar y respetar al pueblo que nos vio nacer, Chiapas!!!",amar y respetar al pueblo que nos vio nacer chiapas,"['amar', 'y', 'respetar', 'al', 'pueblo', 'que', 'nos', 'vio', 'nacer', 'chiapas']"
93,Gayelquenomesiga,Te pareces a Karely Ruiz.,te pareces a karely ruiz,"['te', 'pareces', 'a', 'karely', 'ruiz']"
94,Victor Castillo2555,🥰,,[]
95,glezal,por el voto hay quuienes son capaz de todo.😳,por el voto hay quuienes son capaz de todo,"['por', 'el', 'voto', 'hay', 'quuienes', 'son', 'capaz', 'de', 'todo']"
96,Bartolos Rest,estamos con usted #EsSasil,estamos con usted essasil,"['estamos', 'con', 'usted', 'essasil']"
97,Aremi Rubi Arreola Zavaleta,Eso es todo #EsSasil 2024 😘,eso es todo essasil  ,"['eso', 'es', 'todo', 'essasil']"
98,Vale Gonz297,"yo voy Sasil, ella es la indicada para gobernar Chiapas",yo voy sasil ella es la indicada para gobernar chiapas,"['yo', 'voy', 'sasil', 'ella', 'es', 'la', 'indicada', 'para', 'gobernar', 'chiapas']"
99,_Dulce Pecado_,🥰🥰🥰🥰🥰🥰,,[]
100,Laura De Leon Carden,Nuestra futura gobernadora de Chiapas 👏👍👍,nuestra futura gobernadora de chiapas ,"['nuestra', 'futura', 'gobernadora', 'de', 'chiapas']"
101,Laura De Leon Carden,Eso es todo Senadora 👏👏👏👏👌👌👌,eso es todo senadora ,"['eso', 'es', 'todo', 'senadora']"
104,Diego Moreno,Que bonitooo rocky,que bonitooo rocky,"['que', 'bonitooo', 'rocky']"
105,La loca de los gatos y perros,🥰🥰🥰,,[]
106,Montse De León,Regálamelo,reglamelo,['reglamelo']
107,Montse De León,Lo quierooooooooo,lo quierooooooooo,"['lo', 'quierooooooooo']"
109,Nomada Maya en Cancun,🥰,,[]
110,Rodrigo Betancourt,👏,,[]
111,Estef.magaña,#yoVoyConSasil ❤️,yovoyconsasil ,['yovoyconsasil']
112,Enoc Santos Gonzalez,De video de Banda !!!! Hermoso chiapas !!,de video de banda  hermoso chiapas ,"['de', 'video', 'de', 'banda', 'hermoso', 'chiapas']"
113,Enoc Santos Gonzalez,👌,,[]
114,francisco sanchez1981,muy guapa🥰🥰🥰🥰🥰,muy guapa,"['muy', 'guapa']"
115,luigy396,ESTA SEÑORA SOLO CUANDO HAY ALGO QUE LE.VA HACER GANAR MAS DINERO ( ELECCIONES ) SE APARECE...,esta seora solo cuando hay algo que leva hacer ganar mas dinero  elecciones  se aparece,"['esta', 'seora', 'solo', 'cuando', 'hay', 'algo', 'que', 'leva', 'hacer', 'ganar', 'mas', 'dinero', 'elecciones', 'se', 'aparece']"
116,joseranulfo18,Excelente día,excelente da,"['excelente', 'da']"
117,Alejandra JosaFan,😍😍😍,,[]
118,Montse De León,😍😍,,[]
119,Diego Moreno,👏🏼👏🏼👏🏼,,[]
120,Gitana,"Porque las mujeres también tenemos los mismos derechos que los hombres para acceder al uso, manejo y control de los recursos, por eso #EsSasil",porque las mujeres tambin tenemos los mismos derechos que los hombres para acceder al uso manejo y control de los recursos por eso essasil,"['porque', 'las', 'mujeres', 'tambin', 'tenemos', 'los', 'mismos', 'derechos', 'que', 'los', 'hombres', 'para', 'acceder', 'al', 'uso', 'manejo', 'y', 'control', 'de', 'los', 'recursos', 'por', 'eso', 'essasil']"
121,Rene González,Próxima gobernadora de Chiapas 👊🏻,prxima gobernadora de chiapas ,"['prxima', 'gobernadora', 'de', 'chiapas']"
122,Exaljuan1,Saludos mi senadora,saludos mi senadora,"['saludos', 'mi', 'senadora']"
123,Cristy GS🦋,saludos desde Reforma chiapas,saludos desde reforma chiapas,"['saludos', 'desde', 'reforma', 'chiapas']"
124,Cristy GS🦋,Tu serás la mejor Gobernadora que Chiapas puede tener,tu sers la mejor gobernadora que chiapas puede tener,"['tu', 'sers', 'la', 'mejor', 'gobernadora', 'que', 'chiapas', 'puede', 'tener']"
127,De La Rosa Liz,"La senadora más guapa y es de Chiapas, saludos desde mapastepec",la senadora ms guapa y es de chiapas saludos desde mapastepec,"['la', 'senadora', 'ms', 'guapa', 'y', 'es', 'de', 'chiapas', 'saludos', 'desde', 'mapastepec']"
128,Rodrigo Betancourt,👏👏👏,,[]
130,Andrés,Lo que deberian hacer es crear oportunidades de trabajo para los jovenes que estudiamos y no recibimos apoyos :(,lo que deberian hacer es crear oportunidades de trabajo para los jovenes que estudiamos y no recibimos apoyos ,"['lo', 'que', 'deberian', 'hacer', 'es', 'crear', 'oportunidades', 'de', 'trabajo', 'para', 'los', 'jovenes', 'que', 'estudiamos', 'y', 'no', 'recibimos', 'apoyos']"
131,josuecruz452,como se llaman las canciones ?,como se llaman las canciones ,"['como', 'se', 'llaman', 'las', 'canciones']"
132,Nahiely Salinas Gonz,una mujer fuerte y digna representante de los chiapanecos! 😌,una mujer fuerte y digna representante de los chiapanecos ,"['una', 'mujer', 'fuerte', 'y', 'digna', 'representante', 'de', 'los', 'chiapanecos']"
133,empanada877,"Yo quiero trabajar con usted, hice prácticas en el senado 🥺",yo quiero trabajar con usted hice prcticas en el senado ,"['yo', 'quiero', 'trabajar', 'con', 'usted', 'hice', 'prcticas', 'en', 'el', 'senado']"
134,merrik cast,🥰🥰,,[]
135,Jose Jimenez Toledo,que paso con ciudad mujer???,que paso con ciudad mujer,"['que', 'paso', 'con', 'ciudad', 'mujer']"
136,cardenas,Con pura gente acarreada pues así todos llenan y aparte en ese tiempo aún eras del partido verde y ahorita como le conviene seguir robando,con pura gente acarreada pues as todos llenan y aparte en ese tiempo an eras del partido verde y ahorita como le conviene seguir robando,"['con', 'pura', 'gente', 'acarreada', 'pues', 'as', 'todos', 'llenan', 'y', 'aparte', 'en', 'ese', 'tiempo', 'an', 'eras', 'del', 'partido', 'verde', 'y', 'ahorita', 'como', 'le', 'conviene', 'seguir', 'robando']"
137,user192947875,VIVA AMLO 💪💪💪,viva amlo ,"['viva', 'amlo']"
138,user5978113277527,morena 🇲🇽💪💯 es un honor estar con obrador 🥰,morena  es un honor estar con obrador ,"['morena', 'es', 'un', 'honor', 'estar', 'con', 'obrador']"
139,tolucogodinez,Que poca madre… que manera de derrochar NUESTROS IMPUESTOS EN ALIMENTAR EL EGO DEL PEOR PRESIDENTE DE MEXICO🤬🤬🤮🤮🐀🐀,que poca madre que manera de derrochar nuestros impuestos en alimentar el ego del peor presidente de mexico,"['que', 'poca', 'madre', 'que', 'manera', 'de', 'derrochar', 'nuestros', 'impuestos', 'en', 'alimentar', 'el', 'ego', 'del', 'peor', 'presidente', 'de', 'mexico']"
140,luigy396,"LA NUCU LE DICEN! SALE CADA QUE HAY PROXIMAS ELECCIONES A ENGAÑAR BOBOS,NI UN VOTO A ESTA SEÑORA!!!",la nucu le dicen sale cada que hay proximas elecciones a engaar bobosni un voto a esta seora,"['la', 'nucu', 'le', 'dicen', 'sale', 'cada', 'que', 'hay', 'proximas', 'elecciones', 'a', 'engaar', 'bobosni', 'un', 'voto', 'a', 'esta', 'seora']"
141,GaGuji@@,que mal que al pasar al municipio de Escuintla chiapas antipática para hablar y eso de Serca de la presidencia,que mal que al pasar al municipio de escuintla chiapas antiptica para hablar y eso de serca de la presidencia,"['que', 'mal', 'que', 'al', 'pasar', 'al', 'municipio', 'de', 'escuintla', 'chiapas', 'antiptica', 'para', 'hablar', 'y', 'eso', 'de', 'serca', 'de', 'la', 'presidencia']"
142,Gitana,"Chiapas es hermoso, gracias Senadora por dar a conocer las riquezas de nuestro Estado. 💖🌹",chiapas es hermoso gracias senadora por dar a conocer las riquezas de nuestro estado ,"['chiapas', 'es', 'hermoso', 'gracias', 'senadora', 'por', 'dar', 'a', 'conocer', 'las', 'riquezas', 'de', 'nuestro', 'estado']"
143,cardenas,Pura falsedad de esta sra nunca ha hecho nada por su estado y ahorita anda de falsa,pura falsedad de esta sra nunca ha hecho nada por su estado y ahorita anda de falsa,"['pura', 'falsedad', 'de', 'esta', 'sra', 'nunca', 'ha', 'hecho', 'nada', 'por', 'su', 'estado', 'y', 'ahorita', 'anda', 'de', 'falsa']"
144,Yaneth29,Vividora,vividora,['vividora']
145,Alex Valencia,nadie pero nadie en su sano juicio le daría un voto a esta persona oportunista y falsa!!,nadie pero nadie en su sano juicio le dara un voto a esta persona oportunista y falsa,"['nadie', 'pero', 'nadie', 'en', 'su', 'sano', 'juicio', 'le', 'dara', 'un', 'voto', 'a', 'esta', 'persona', 'oportunista', 'y', 'falsa']"
146,jazmin,Saludos Senadora.,saludos senadora,"['saludos', 'senadora']"
147,ulisesanleu,Ya es tiempo de elección ya la volvemos a ver lic,ya es tiempo de eleccin ya la volvemos a ver lic,"['ya', 'es', 'tiempo', 'de', 'eleccin', 'ya', 'la', 'volvemos', 'a', 'ver', 'lic']"
148,Isaak Ehrmantraut Zambrano,"Es tiempo de elecciones, la temporada perfecta para demostrar la humildad de los políticos 👌🏻😛",es tiempo de elecciones la temporada perfecta para demostrar la humildad de los polticos ,"['es', 'tiempo', 'de', 'elecciones', 'la', 'temporada', 'perfecta', 'para', 'demostrar', 'la', 'humildad', 'de', 'los', 'polticos']"
